Restaurant Name,Inspection Type,Inspection Date,Inspection Score,Street Number,Street Name,Street Unit,Zip,Street Address,Inspection Month,Inspection Year,Lat,Long,Type,Rating,Rating Count
CARRABBA'S ITALIAN GRILL,Routine,9/11/2019,98,17548,DALLAS,,75287,17548 N DALLAS PKWY,9/1/2019,FY2019,32.9898778,-96.8280237,Restaurant,4.3,682
CARRIE'S,Routine,4/18/2017,85,2320,MLK,,75215,2320 MLK BLVD,4/1/2017,FY2017,32.7646976,-96.7730507,Restaurant,4.5,39
CARSON'S MARQT,Routine,8/7/2017,82,10819,ELAM,,75217,10819 ELAM RD,8/1/2017,FY2017,32.7197923,-96.6395677,Restaurant,4.5,117
CARVER PARK,Routine,1/9/2020,84,7557,RAMBLER,#170,75231,7557 RAMBLER RD #170,1/1/2020,FY2020,32.8851798,-96.7631601,Restaurant,5,4
CASA DE MONTECRISTO,Routine,2/27/2019,97,3878,OAK LAWN,#300,75219,3878 OAK LAWN AVE #300,2/1/2019,FY2019,32.8154852,-96.8006898,Restaurant,4.2,334
CASA DON LUIS TEX-MEX,Routine,10/7/2019,83,4805,FRANKFORD,#105,75287,4805 FRANKFORD RD #105,10/1/2019,FY2020,32.9994959,-96.8242974,Restaurant,4.5,457
CASA MAMA COMIDA CASERA,Routine,7/9/2019,91,19129,PRESTON,#100,75252,19129 PRESTON RD #100,7/1/2019,FY2019,33.0085612,-96.7961691,Restaurant,4.5,644
CASA NAVARRO,Routine,11/5/2019,81,11742,MARSH,#A,75229,11742 MARSH LN #A,11/1/2019,FY2020,32.9088179,-96.855661,Restaurant,4.4,482
CASA VERONA,Routine,12/2/2019,88,9840,CENTRAL,#300,75231,9840 N CENTRAL EXPW #300,12/1/2019,FY2020,32.8821808,-96.7686101,Restaurant,4.8,32
CASITA GROCERY & DELI,Routine,7/9/2019,80,2111,NORTHWEST,,75220,2111 W NORTHWEST HWY,7/1/2019,FY2019,32.8664125,-96.9048809,Restaurant,5,1
CASSANDRA'S FINE CATERING,Routine,9/24/2019,98,1435,DRAGON,,75207,1435 DRAGON ST,9/1/2019,FY2019,32.7913366,-96.8199216,Restaurant,3.7,6
CATFISH CONNECTION,Routine,1/30/2019,90,2464,KIEST,,75233,2464 W KIEST BLVD,1/1/2019,FY2019,32.7053822,-96.8586204,Restaurant,4,511
CATFISH FLOYD'S,Routine,8/29/2019,80,710,ANN ARBOR,,75216,710 E ANN ARBOR AVE,8/1/2019,FY2019,32.6910469,-96.81402,Restaurant,4,1250
CATFISH FOOD VARIANCE,Routine,11/21/2018,83,2223,SINGLETON,,75212,2223 SINGLETON BLVD #222,11/1/2018,FY2019,32.7798801,-96.858295,Restaurant,3.8,4
CATFISH KING,Routine,2/14/2019,88,6940,COCKRELL HILL,,75237,6940 S COCKRELL HILL RD,2/1/2019,FY2019,32.663547,-96.890591,Restaurant,3.7,472
CATFISH SMITH,Routine,8/9/2019,85,4620,LAMAR,,75215,4620 S LAMAR ST,8/1/2019,FY2019,32.7477893,-96.7637053,Restaurant,4,938
CATFISH XPRESS-E-MORE,Routine,3/22/2018,84,3662,CAMP WISDOM,#2013,75237,3662 W CAMP WISDOM RD #2013,3/1/2018,FY2018,32.6593078,-96.8790925,Restaurant,4,1
CATRACHITO RESTAURANT,Routine,9/18/2019,84,9458,MARSH,,75220,9458 MARSH LN,9/1/2019,FY2019,32.8629549,-96.8556088,Restaurant,4.2,266
