Restaurant Name,Inspection Type,Inspection Date,Inspection Score,Street Number,Street Name,Street Unit,Zip,Street Address,Inspection Month,Inspection Year,Lat,Long,Type,Rating,Rating Count
OH SUSHI,Routine,8/8/2019,80,2053,NORTHWEST,#90,75220,2053 W NORTHWEST HWY #90,8/1/2019,FY2019,32.8672388,-96.9062455,Restaurant,3.8,544
OISHII,Routine,8/21/2019,82,2525,WYCLIFF,#110,75219,2525 WYCLIFF AVE STE #110,8/1/2019,FY2019,32.8110156,-96.8191479,Restaurant,4,232
OJEDA'S,Routine,8/14/2019,89,4617,MAPLE,,75219,4617 MAPLE AVE,8/1/2019,FY2019,32.812894,-96.8249191,Bar,4.4,2546
OJOS LOCOS,Routine,4/23/2019,80,10230,TECHNOLOGY,E,75220,10230 TECHNOLOGY BLVD E,4/1/2019,FY2019,32.860907,-96.894124,Bar,4.1,1784
OK FOOD MART,Routine,12/16/2019,91,4343,CAMP WISDOM,#124,75237,4343 W CAMP WISDOM RD #124,12/1/2019,FY2020,32.6629296,-96.8901451,Restaurant,,
OLD CHICAGO RESTAURANT,Routine,8/30/2019,84,5319,MOCKINGBIRD,#100,75206,5319 E MOCKINGBIRD LN STE #100,8/1/2019,FY2019,32.8384272,-96.7763785,Bar,4.5,195
OLD MILL INN,Routine,9/17/2019,100,3611,GRAND,,75210,3611 GRAND AVE,9/1/2019,FY2019,32.779523,-96.763177,Bar,4,131
OLD WARSAW RESTAURANT,Routine,9/30/2019,80,2512,MAPLE,,75201,2512 MAPLE AVE,9/1/2019,FY2019,32.7952769,-96.8035713,Bar,4,303
OLGA'S TTC RESTAURANT/TACO BAR,Routine,11/28/2018,95,2310,MLK,#101,75215,2310 MLK BLVD #101,11/1/2018,FY2019,32.7644583,-96.7732566,Restaurant,4.5,39
OLIVELLAS LAKEWOOD,Routine,9/11/2019,88,6465,MOCKINGBIRD,525,75214,6465 E MOCKINGBIRD LN 525,9/1/2019,FY2019,32.8369704,-96.7511853,Bar,4.2,164
OMAHA STEAKS,Routine,4/10/2019,100,10854,PRESTON,,75230,10854 PRESTON RD,4/1/2019,FY2019,32.896517,-96.803604,Restaurant,4.2,78
OMAR EXPRESS FOOD,Routine,7/30/2019,90,8618,LANCASTER,,75241,8618 S LANCASTER RD,7/1/2019,FY2019,32.6432021,-96.7791767,Restaurant,3.8,695
ON ROTATION,Routine,1/11/2020,99,7328,GASTON,#110,75214,7328 GASTON AVE #110,1/1/2020,FY2020,32.8109798,-96.7314199,Restaurant,4.5,866
ONE MAIN SUN DRY,Routine,12/6/2019,100,1201,MAIN,P-290,75202,1201 MAIN ST P-290,12/1/2019,FY2020,32.7803131,-96.8018291,Restaurant,4.4,139
ONE PERCENT,Routine,8/3/2019,80,11441,STEMMONS,#107,75229,11441 N STEMMONS FRWY #107,8/1/2019,FY2019,32.8986647,-96.8990361,Restaurant,2.6,7
ONENTWO CHICKEN,Routine,7/12/2019,94,2558,ROYAL,,75229,2558 ROYAL LN,7/1/2019,FY2019,32.8956525,-96.8933923,Restaurant,4.3,1221
ONI RAMEN,Routine,8/27/2019,96,2822,ELM,,75226,2822 ELM ST,8/1/2019,FY2019,32.7846602,-96.7827363,Cafe,4.2,1401
OPEN MARKET,Routine,7/23/2019,97,400,OLIVE,FL 2,75201,400 N OLIVE ST FL 2,7/1/2019,FY2019,32.7851279,-96.7949555,Bar,3.7,142
ORACLE FOOD MART,Routine,8/16/2019,88,9702,BROCKBANK,#110,75220,9702 BROCKBANK DR #110,8/1/2019,FY2019,32.8668997,-96.8750151,Restaurant,4.7,9
ORALE FOOD MART,Routine,8/16/2019,82,9702,BROCKBANK,#100,75220,9702 BROCKBANK DR #100,8/1/2019,FY2019,32.8668997,-96.8750151,Restaurant,4.7,9
ORANGE CHICKEN EXPRESS CHINESE FOOD,Routine,9/3/2019,80,2303,MOUNTAIN LAKE,#100,75224,2303 MOUNTAIN LAKE RD #100,9/1/2019,FY2019,32.7216431,-96.8558439,Restaurant,,
ORIGIN NATURAL FOOD,Routine,8/21/2019,86,4438,MCKINNEY,150,75205,4438 MCKINNEY AVE 150,8/1/2019,FY2019,32.820538,-96.788385,Restaurant,4.2,990
ORNO,Routine,9/25/2019,86,3908,CEDAR SPRINGS,,75219,3908 CEDAR SPRINGS RD,9/1/2019,FY2019,32.810469,-96.8101414,Restaurant,4.5,111
ORS OCEAN RESOURCE SEAFOOD,Routine,11/20/2018,100,1805,CHESTNUT,,75226,1805 CHESTNUT ST,11/1/2018,FY2019,32.7786207,-96.7749156,Restaurant,,
OSK OFF SITE KITCHEN,Routine,12/24/2019,99,331,SINGLETON,#100,75212,331 SINGLETON #100,12/1/2019,FY2020,32.7787719,-96.829531,Restaurant,4.6,970
OSOS NEVERIA,Routine,1/6/2018,92,2534,ROYAL,D-13,75229,2534 ROYAL LN D-13,1/1/2018,FY2018,32.8951633,-96.8945916,Restaurant,4.1,21
OSTION AZUL,Routine,10/28/2019,85,5221,JEFFERSON,,75211,5221 W JEFFERSON BLVD,10/1/2019,FY2020,32.7466056,-96.9123722,Restaurant,4.1,34
OTTO'S,Routine,12/7/2018,100,1321,COMMERCE,,75202,1321 COMMERCE ST,12/1/2018,FY2019,32.7800411,-96.7997282,Restaurant,4.4,251
OUTBACK STEAKHOUSE,Routine,12/12/2019,94,9049,VANTAGE POINT,,75243,9049 VANTAGE POINT,12/1/2019,FY2020,32.917476,-96.7463466,Bar,4.2,1009
OUTFIT BREWERY,Routine,12/27/2019,95,7135,JOHN W. CARPENTER,#180,75247,7135 JOHN W. CARPENTER FRWY #180,12/1/2019,FY2020,32.815764,-96.8699258,Restaurant,4.6,201
OVEN & CELLAR,Routine,11/1/2016,100,1900,ELM,#102,75201,1900 ELM ST #102,11/1/2016,FY2017,32.7817576,-96.7955306,Restaurant,4.7,71
OZONA GRILL AND BAR,Routine,12/16/2019,85,4615,GREENVILLE,,75206,4615 GREENVILLE AVE,12/1/2019,FY2020,32.8435524,-96.7708607,Restaurant,4.3,1214
PACIFIC DECK-DALLAS,Routine,10/11/2019,80,1910,PACIFIC,#1400,75201,1910 PACIFIC #1400,10/1/2019,FY2020,32.7826453,-96.7954613,Restaurant,4.3,11
PACIUGO,Routine,2/8/2019,89,13350,DALLAS,#1485,75240,13350 DALLAS PKWY #1485,2/1/2019,FY2019,32.9290218,-96.8200386,Bar,4.5,651
PACIUGO GELATO & CAFFE,Routine,2/28/2019,93,3699,MCKINNEY,#101B,75204,3699 MCKINNEY AVE #101B,2/1/2019,FY2019,32.8082909,-96.7973435,Restaurant,4.6,785
PACIUGO NORTHPARK MALL,Routine,10/24/2019,80,8687,CENTRAL,#2404,75225,8687 N CENTRAL EXPW #2404,10/1/2019,FY2020,32.8687682,-96.7692323,Restaurant,2.9,38
PAISANITA TAQUERIA,Routine,9/23/2019,80,2930,DAVIS,,75211,2930 W DAVIS ST,9/1/2019,FY2019,32.7492663,-96.8697281,Restaurant,4.9,30
PAKPAO,Routine,11/4/2019,72,1628,OAK LAWN,,75207,1628 OAK LAWN AVE,11/1/2019,FY2020,32.7970641,-96.8191461,Bar,4.2,548
PALAPAS SEAFOOD BAR,Routine,10/16/2019,80,1418,GREENVILLE,,75206,1418 GREENVILLE AVE,10/1/2019,FY2020,32.8081837,-96.769987,Bar,4.3,488
PALETERIA EL REY,Routine,12/26/2019,82,3900,BUCKNER,,75227,3900 S BUCKNER BLVD,12/1/2019,FY2020,32.7712823,-96.6823365,Restaurant,4.3,58
PALETERIA LA ESTRELLA,Routine,1/22/2019,99,409,CENTRE,,75208,409 CENTRE ST,1/1/2019,FY2019,32.7424963,-96.8288534,Restaurant,4.4,149
PALETERIA LA MEXICANA,Routine,1/29/2019,86,525,JEFFERSON,#D,75203,525 E JEFFERSON BLVD #D,1/1/2019,FY2019,32.7467958,-96.817047,Restaurant,4.3,224
PALETERIA LA SUPER,Routine,1/28/2019,91,3439,BANNING,,75233,3439 BANNING ST,1/1/2019,FY2019,32.7168456,-96.8779717,Restaurant,4.8,14
PALETERIA MEXICO,Routine,6/10/2019,87,327,MOCKINGBRIRD,,75247,327 W MOCKINGBRIRD LN,6/1/2019,FY2019,32.8042379,-96.8740959,Restaurant,3.7,265
PALETERIA MEXTY,Routine,1/8/2020,77,8145,BRUTON,,75217,8145 BRUTON RD,1/1/2020,FY2020,32.7493177,-96.6810844,Restaurant,4.3,173
PALETERIA SAN MARCOS,Routine,2/6/2019,87,14203,COIT,#100,75240,14203 COIT RD #100,2/1/2019,FY2019,32.9415422,-96.7696844,Restaurant,4,693
PALETERIA Y NEVERIA COCO BONGO,Routine,11/7/2018,95,1819,BUCKNER,#120,75217,1819 S BUCKNER BLVD #120,11/1/2018,FY2019,32.7433759,-96.6833182,Restaurant,4.4,258
PALETERIA Y TAQUERIA TREBOL,Routine,12/19/2019,100,4902,GRAND,,75223,4902 E GRAND AVE,12/1/2019,FY2020,32.7879032,-96.7533721,Restaurant,3,1
PALMIERI CAFE,Routine,1/25/2019,96,920,HARWOOD,#100,75201,920 S HARWOOD #100,1/1/2019,FY2019,32.77747,-96.7900856,Restaurant,4.4,355
PANADERIA & RESTAURANT GUATEMALTECA,Routine,12/23/2019,75,11055,DENNIS,#17,75229,11055 DENNIS RD #17,12/1/2019,FY2020,32.8989191,-96.8818006,Restaurant,4,157
PANADERIA EL ARTESANO,Routine,2/7/2019,94,525,JEFFERSON,#C,75203,525 E JEFFERSON BLVD #C,2/1/2019,FY2019,32.7467958,-96.817047,Restaurant,4.3,224
PANADERIA LA UNION/RESTAURANT,Routine,10/2/2019,91,10618,FERGUSON,,75228,10618 FERGUSON RD,10/1/2019,FY2020,32.8411286,-96.6654295,Restaurant,3.7,114
PANADERIA Y RESTAURANTE MORAZAN,Routine,11/26/2019,85,426,JEFFERSON,#A,75208,426 W JEFFERSON BLVD #A,11/1/2019,FY2020,32.742871,-96.829573,Restaurant,4.9,17
PANCHO'S MEXICAN BUFFET,Routine,9/18/2018,80,4001,WHEATLAND,#100,75237,4001 W WHEATLAND RD #100,9/1/2018,FY2018,32.6479367,-96.8856743,Restaurant,4,259
PANDA CHINESE FOOD,Routine,12/11/2019,92,2576,WALNUT HILL,,75229,2576 WALNUT HILL LN,12/1/2019,FY2020,32.880652,-96.890767,Restaurant,4.3,566
PANDA EXPRESS,Routine,1/8/2020,97,15204,MONTFORT,,75248,15204 MONTFORT DR,1/1/2020,FY2020,32.956152,-96.8180387,Restaurant,3.9,437
PANDA EXPRESS,Routine,10/28/2019,94,9411,WEBB CHAPEL,100,75220,9411 WEBB CHAPEL RD 100,10/1/2019,FY2020,32.8611258,-96.8587588,Restaurant,4,597
PANDA EXPRESS,Routine,8/7/2019,93,8687,CENTRAL,2388,75206,8687 N CENTRAL EXPW 2388,8/1/2019,FY2019,32.8669116,-96.7726611,Restaurant,4.5,1936
PANDA TEA,Routine,11/21/2019,81,5521,GREENVILLE,#108A,75206,5521 GREENVILLE AVE #108A,11/1/2019,FY2020,32.853688,-96.7698721,Restaurant,4.4,570
PANDA'S RESTAURANT,Routine,9/26/2019,90,3917,CEDAR SPRINGS,,75219,3917 CEDAR SPRINGS RD,9/1/2019,FY2019,32.8107116,-96.8111685,Restaurant,3.4,159
PANERA BREAD,Routine,11/14/2019,95,7839,PARK,,75225,7839 PARK LN,11/1/2019,FY2020,32.8723079,-96.772678,Restaurant,4,1077
PAPA JOHN'S PIZZA,Routine,1/9/2019,85,5907,BELTLINE,102,75248,5907 BELTLINE RD 102,1/1/2019,FY2019,32.95462,-96.80627,Restaurant,3.1,95
PAPA JOHN'S PIZZA,Routine,11/18/2018,80,2731,NORTHWEST,110,75220,2731 W NORTHWEST HWY 110,11/1/2018,FY2019,32.8587391,-96.8743272,Restaurant,3.8,99
PAPA JOHNS,Routine,6/11/2019,96,2292,BUCKNER,#110,75227,2292 S BUCKNER BLVD #110,6/1/2019,FY2019,32.7521914,-96.6825654,Restaurant,3.2,175
PAPA JOHNS PIZZA,Routine,1/13/2020,96,3206,DAVIS,100,75211,3206 W DAVIS ST 100,1/1/2020,FY2020,32.7492639,-96.8731742,Restaurant,3.4,104
PAPA JOHNS PIZZA,Routine,8/29/2019,96,2937,GREENVILLE,#170,75206,2937 GREENVILLE AVE #170,8/1/2019,FY2019,32.8241899,-96.7704405,Restaurant,2.6,72
PAPA JOHNS PIZZA,Routine,2/15/2019,95,1127,BECKLEY,,75203,1127 N BECKLEY AVE,2/1/2019,FY2019,32.757498,-96.8232715,Restaurant,3,121
PAPA MURPHY'S TAKE AND BAKE PIZZA,Routine,2/5/2019,97,18110,MIDWAY,#101,75287,18110 MIDWAY RD #101,2/1/2019,FY2019,32.9962566,-96.8426795,Restaurant,3.9,96
PAPA YUN'S DONUTS,Routine,11/6/2019,81,1904,RECORD CROSSING,,75235,1904 RECORD CROSSING RD,11/1/2019,FY2020,32.8175084,-96.8505919,Restaurant,4.1,55
PAPPADEAUX SEAFOOD,Routine,11/14/2019,96,10428,LOMBARDY,,75220,10428 LOMBARDY LN,11/1/2019,FY2020,32.8660446,-96.8968963,Restaurant,4.5,3053
PAPPADEAUX SEAFOOD,Routine,9/16/2019,98,18349,DALLAS,,75287,18349 DALLAS PKWY,9/1/2019,FY2019,32.9991661,-96.8303265,Restaurant,4.4,3252
PAPPADEAUX SEAFOOD,Routine,7/17/2019,94,3520,OAK LAWN,,75219,3520 N OAK LAWN AVE,7/1/2019,FY2019,32.812038,-96.804552,Restaurant,4.4,3418
PAPPAS BARBEQUE,Routine,9/5/2019,98,2231,NORTHWEST,,75220,2231 W NORTHWEST HWY,9/1/2019,FY2019,32.8642214,-96.8973572,Restaurant,4.2,1286
PAPPAS BROTHERS STEAKHOUSE,Routine,11/15/2019,97,10477,LOMBARDY,,75220,10477 LOMBARDY LN,11/1/2019,FY2020,32.8669994,-96.8978594,Restaurant,4.7,1744
PAPPASITO'S CANTINA,Routine,11/14/2019,94,10433,LOMBARDY,,75220,10433 LOMBARDY LN,11/1/2019,FY2020,32.865919,-96.8983627,Restaurant,4.4,2905
PAPPY'S OLD FASHIONED HAMBURGERS,Routine,10/3/2019,82,1475,MOCKINGBIRD,,75247,1475 W MOCKINGBIRD LN,10/1/2019,FY2020,32.8227364,-96.8612886,Restaurant,4.2,373
PARADISE BAKERY & CAFE,Routine,1/13/2020,94,13710,DALLAS,H-1,75240,13710 DALLAS PKWY H-1,1/1/2020,FY2020,32.9337468,-96.8207167,Restaurant,4.6,262
PARADISE CAJUN SEAFOOD,Routine,8/13/2019,97,3636,FRANKFORD,#300,75287,3636 FRANKFORD RD #300,8/1/2019,FY2019,32.995834,-96.8539976,Restaurant,5,6
PARIGI,Routine,8/26/2019,91,3311,OAK LAWN,#102,75219,3311 OAK LAWN AVE #102,8/1/2019,FY2019,32.8106871,-96.8075101,Restaurant,4.5,183
PARK CITY CLUB,Routine,9/12/2019,90,5956,SHERRY,#1700,75225,5956 SHERRY LN #1700,9/1/2019,FY2019,32.861999,-96.8098978,Restaurant,4.6,144
