,Restaurant Name,Inspection Type,Inspection Date,Inspection Score,Street Number,Street Name,Street Unit,Zip,Street Address,Inspection Month,Inspection Year,Lat,Long,Type,Rating,Rating Count
0,"""LET'S DO LUNCH""",Routine,8/28/2019,100,1720,REGAL,#105,75235,1720 REGAL ROW #105,8/1/2019,FY2019,32.8361495,-96.8720429,,,
1,$ STUFF & MORE,Routine,12/28/2018,93,4702,EAST GRAND,,75223,4702 EAST GRAND AVE,12/1/2018,FY2019,32.7854819,-96.7559555,,,
2,A & A MART,Routine,5/14/2019,81,309,MARSALIS,,75203,309 S MARSALIS AVE,5/1/2019,FY2019,32.7444815,-96.8160463,Restaurant,3.8,717
3,A & J BAKERY,Routine,4/30/2019,92,3515,OAK LAWN,,75219,3515 OAK LAWN AVE,4/1/2019,FY2019,32.8123799,-96.8054238,Restaurant,4,60
4,A & K MART,Routine,2/7/2019,98,5723,SINGLETON,,75212,5723 SINGLETON BLVD,2/1/2019,FY2019,32.7789351,-96.9141423,Restaurant,4.3,23
5,A AND A'S QUICKSTOP,Routine,12/11/2019,90,4307,DUNCANVILLE,#101,75236,4307 DUNCANVILLE RD #101,12/1/2019,FY2020,32.6839167,-96.9090143,,,
6,A DONUT,Routine,12/20/2018,91,2829,WEBB CHAPEL,102A,75238,2829 WEBB CHAPEL EXT 102A,12/1/2018,FY2019,32.8571455,-96.8711577,Bakery,4.4,61
7,A LA CARTE CAKES AND CATE,Routine,12/4/2019,80,2750,NORTHAVEN,#304,75220,2750 NORTHAVEN RD #304,12/1/2019,FY2020,32.9032146,-96.8857448,,,
8,A LOUISIANA WING COMPANY,Routine,1/3/2020,89,2860,LEDBETTER,,75216,2860 E LEDBETTER DR,1/1/2020,FY2020,32.6941077,-96.7721932,,,
9,A MOTIONS FOOD MART,Routine,2/22/2018,80,829,CORINTH ST,,75203,829 S CORINTH ST RD,2/1/2018,FY2018,32.7394658,-96.7988631,Restaurant,,
10,A PLUS GROCERY BEER & WINE,Routine,2/14/2019,82,4407,MOCKINGBIRD,,75209,4407 W MOCKINGBIRD LN,2/1/2019,FY2019,32.836885,-96.830941,Restaurant,4.3,44
11,A SANDWICH SHOP,Routine,1/28/2019,92,8333,DOUGLAS,#C140,75225,8333 DOUGLAS AVE #C140,1/1/2019,FY2019,32.8640379,-96.8094783,Restaurant,5,1
12,A STEP UP,Routine,2/27/2019,97,3720,WALNUT HILL,#115,75229,3720 WALNUT HILL LN #115,2/1/2019,FY2019,32.8796855,-96.8552837,Meal_Delivery,4,169
13,A TASTE OF WAYS CATERING,Routine,12/11/2019,97,2949,KIEST,#A,75216,2949 E KIEST BLVD #A,12/1/2019,FY2020,32.7263344,-96.7864191,Restaurant,4.6,97
14,A TO Z FOOD MART,Routine,6/17/2019,97,2120,ST AUGUSTINE,#130,75227,2120 N ST AUGUSTINE RD #130,6/1/2019,FY2019,32.7493863,-96.6561699,Restaurant,4.4,96
15,A W BROWN FELLOWSHIP CHURCH,Routine,10/23/2019,98,6901,WESTMORELAND,,75237,6901 S WESTMORELAND RD,10/1/2019,FY2020,32.6635376,-96.8822667,,,
16,A WOK EXPRESS,Routine,12/3/2019,80,10349,FERGUSON,,75228,10349 FERGUSON RD,12/1/2019,FY2020,32.8364397,-96.6723218,,,
17,A-MOTION FOOD MART,Routine,3/14/2019,80,829,CORINTH,,75203,829 S CORINTH,3/1/2019,FY2019,32.7394658,-96.7988631,Restaurant,,
18,A-PLUS EXPRESS KIOSK,Routine,12/7/2017,99,1500,MARILLA,1ST,75201,1500 MARILLA ST 1ST,12/1/2017,FY2018,32.7764068,-96.7970783,Restaurant,2.8,4
19,A.W. BROWN,Routine,11/11/2019,98,5701,REDBIRD CENTER,,75115,5701 REDBIRD CENTER DR,11/1/2019,FY2020,32.6776834,-96.8812487,,,
20,A&A PIZZA,Routine,9/30/2019,92,900,CORINTH,,75203,900 S CORINTH ST,9/1/2019,FY2019,32.7388803,-96.7983201,Restaurant,4.5,95
21,A&R REVELES MEXICAN BAKERY,Routine,3/31/2019,88,2610,SYLVAN,,75212,2610 SYLVAN AVE,3/1/2019,FY2019,32.7761051,-96.8354123,,,
22,AA SHELL,Routine,2/15/2019,90,11404,STEMMONS,,75229,11404 N STEMMONS FRWY,2/1/2019,FY2019,32.8964339,-96.8970427,Gas_Station,3.6,14
23,AB WINGS,Routine,12/2/2019,91,3628,FRANKFORD,#290,75287,3628 FRANKFORD RD #290,12/1/2019,FY2020,32.9955472,-96.8543978,Restaurant,4.5,202
24,ABACUS,Routine,3/19/2019,81,4511,MCKINNEY,,75205,4511 MCKINNEY AVE,3/1/2019,FY2019,32.8216282,-96.7885136,Restaurant,4.6,376
25,ABBY RESTAURANT,Routine,4/13/2019,97,10788,HARRY HINES,#G-08,75220,10788 HARRY HINES BLVD #G-08,4/1/2019,FY2019,32.8741288,-96.8828494,Restaurant,3.4,9
26,ABHIRUCHI CURRIES,Routine,3/24/2017,80,19021,MIDWAY,#200,75287,19021 MIDWAY RD #200,3/1/2017,FY2017,33.0110139,-96.844229,Meal_Takeaway,4,480
27,ABRAMS DELI,Routine,2/14/2019,88,9330,LBJ,#100,75231,9330 LBJ FRWY #100,2/1/2019,FY2019,32.9121102,-96.7385726,,,
28,ABRAMS FOOD & BEER WINE,Routine,5/7/2019,88,12121,ABRAMS,,75243,12121 ABRAMS RD,5/1/2019,FY2019,32.913458,-96.735984,Restaurant,4,120
29,ABRAMS FOOD MART,Routine,7/9/2019,85,9730,ABRAMS,#114,75243,9730 ABRAMS RD #114,7/1/2019,FY2019,32.9086683,-96.7349317,Meal_Takeaway,3.8,88
30,ABRAMS MOBIL,Routine,2/20/2019,95,6500,NORTHWEST,,75231,6500 E NORTHWEST HWY,2/1/2019,FY2019,32.8564955,-96.7495053,,,
31,ABUELITA PANADERIA,Routine,7/5/2018,96,3701,NORTHWEST,#186,75220,3701 W NORTHWEST HWY #186,7/1/2018,FY2018,32.8622738,-96.8573543,,,
32,ABUGEDA GROCERY,Routine,11/14/2019,94,12101,GREENVILLE,#107,75243,12101 GREENVILLE AVE #107,11/1/2019,FY2020,32.9131512,-96.7461457,Restaurant,4.7,1096
33,ABYSSINIA MARKET,Routine,10/3/2019,93,9191,FOREST,#1A,75243,9191 FOREST LN #1A,10/1/2019,FY2020,32.9095931,-96.7437958,Restaurant,4.2,154
34,AC RESIDENCE INN BAR,Routine,12/2/2019,92,5460,JAMES TEMPLE,,75240,5460 JAMES TEMPLE DR,12/1/2019,FY2020,32.9289216,-96.8164688,,,
35,ACA LAS TORTAS,Routine,7/3/2019,80,4420,WORTH,,75246,4420 WORTH ST,7/1/2019,FY2019,32.7945863,-96.7713448,Restaurant,4.7,152
36,ACADEMIA DE LA SALUD,Routine,3/6/2019,92,14215,COIT,#124,75234,14215 COIT RD #124,3/1/2019,FY2019,32.9429888,-96.7709111,,,
37,ACADIA ASSISTED LIVING,Routine,6/19/2019,95,3344,FOREST,,75234,3344 FOREST LN,6/1/2019,FY2019,32.9089988,-96.8667172,,,
38,ACAPULCO,Routine,9/24/2019,85,300,LEDBETTER,#100,75216,300 E LEDBETTER DR #100,9/1/2019,FY2019,32.6843841,-96.820236,,,
39,ACENSION COFFEE ROASTERS LP,Routine,1/8/2019,97,2500,FARRINGTON,#180,75207,2500 FARRINGTON ST #180,1/1/2019,FY2019,32.8005866,-96.8398318,,,
40,ACTION NUTRITION,Routine,10/19/2016,90,3701,NORTHWEST,#250,75220,3701 W NORTHWEST HWY #250,10/1/2016,FY2017,32.8622738,-96.8573543,,,
41,ADAIR'S CAFE,Routine,11/25/2019,95,2624,COMMERCE,,75226,2624 COMMERCE ST,11/1/2019,FY2020,32.7826034,-96.7850885,Meal_Takeaway,4.4,1300
42,ADAM'S KABOB & GRILL,Routine,2/27/2019,94,8024,SPRING VALLEY,,75240,8024 SPRING VALLEY RD,2/1/2019,FY2019,32.9391932,-96.7681575,Restaurant,3.7,352
43,ADELFA BOTELLO CALLEJO,Routine,11/21/2019,90,7817,MILITARY,,75228,7817 MILITARY PKWY,11/1/2019,FY2020,32.771637,-96.6857948,,,
44,ADELMO'S,Routine,9/5/2019,81,5450,LOVERS,#225,75209,5450 W LOVERS LN #225,9/1/2019,FY2019,32.8506131,-96.8192736,,,
45,ADERRT GRILL & SALAD,Routine,8/29/2019,75,13410,PRESTON,#J,75240,13410 PRESTON RD #J,8/1/2019,FY2019,32.930472,-96.8024885,Restaurant,4.6,218
46,ADI'S SHELL,Routine,6/13/2019,86,2313,BUCKNER,#100,75227,2313 S BUCKNER BLVD #100,6/1/2019,FY2019,32.7526692,-96.683172,Gas_Station,4,107
47,ADMIRALS CONCRETE FOUNDATION CLUB,Routine,2/19/2019,100,2500,VICTORY,,75205,2500 VICTORY AVE,2/1/2019,FY2019,32.7903143,-96.810148,Restaurant,1,1
48,ADVENTURE LANDING,Routine,10/15/2019,97,17717,COIT,,75252,17717 COIT RD,10/1/2019,FY2020,32.9917815,-96.7689314,,,
49,AFC SUSHI,Routine,9/16/2019,98,1441,BECKLEY,,75208,1441 N BECKLEY AVE,9/1/2019,FY2019,32.7609193,-96.8250881,,,
50,AFC SUSHI,Routine,9/5/2019,100,1935,MEDICAL DISTRICT,,75235,1935 MEDICAL DISTRICT DR,9/1/2019,FY2019,32.8095238,-96.837616,,,
51,AFC SUSHI,Routine,5/1/2019,95,3757,FOREST,,75244,3757 FOREST LN,5/1/2019,FY2019,32.9107958,-96.8529798,,,
52,AFRICAN AMERICAN MUSEUM,Routine,5/31/2019,100,3536,GRAND,,75210,3536 GRAND AVE,5/1/2019,FY2019,32.7790552,-96.7644443,,,
53,AFRICAN KITCHEN,Routine,9/20/2019,89,4515,VILLAGE FAIR,#E-4,75224,4515 VILLAGE FAIR DR #E-4,9/1/2019,FY2019,32.6919514,-96.8287796,Restaurant,4.3,3
54,AFRIKA FUSION,Routine,12/27/2019,86,18900,DALLAS,#125,75287,18900 N DALLAS PKWY #125,12/1/2019,FY2020,33.0064756,-96.8280101,Meal_Delivery,3.3,141
55,AGA'S BIRYANI & BBQ,Routine,10/28/2019,80,11276,HARRY HINES,#103,75229,11276 HARRY HINES BLVD #103,10/1/2019,FY2020,32.8925762,-96.8895164,Restaurant,4.3,248
56,AGOZA GEBYA,Routine,12/16/2019,89,5528,ALPHA,#105,75240,5528 ALPHA RD #105,12/1/2019,FY2020,32.9323598,-96.8120735,Convenience_Store,4.2,6
57,AGU A RAMEN BISTRO,Routine,8/28/2019,88,5331,MOCKINGBIRD,125,75206,5331 E MOCKINGBIRD 125,8/1/2019,FY2019,32.8376887,-96.7762529,Restaurant,4.4,39
58,AGUAS FRESCAS Y MAS,Routine,11/20/2018,87,803,BEACON,#300,75223,803 S BEACON ST #300,11/1/2018,FY2019,32.796365,-96.7506275,Restaurant,4.3,144
59,AI GOODS,Routine,3/28/2018,92,4858,EAST GRAND,#A,75223,4858 EAST GRAND AVE #A,3/1/2018,FY2018,32.7874716,-96.7535956,Restaurant,3,1
60,AI SUSHI SAKE GRILL,Routine,9/26/2019,86,4123,CEDAR SPRINGS,#102,75219,4123 CEDAR SPRINGS RD #102,9/1/2019,FY2019,32.8116443,-96.8132487,Restaurant,4.2,19
61,AIDS INTERFAITH NETWORK,Routine,6/14/2018,90,2707,STEMMONS,#140,75207,2707 N STEMMONS FRWY #140,6/1/2018,FY2018,32.8066032,-96.8439402,,,
62,AIN,Routine,9/24/2019,95,2600,STEMMONS,#160,75207,2600 N STEMMONS FRWY #160,9/1/2019,FY2019,32.8085948,-96.8416832,,,
63,AIR CULINAIRE,Routine,9/5/2019,82,8001,LEMMON,,75209,8001 LEMMON AVE,9/1/2019,FY2019,32.8509566,-96.8426279,,,
64,AJ DONUTS,Routine,4/19/2019,84,2231,LEDBETTER,#260,75224,2231 W LEDBETTER DR #260,4/1/2019,FY2019,32.6924305,-96.855851,Meal_Takeaway,3.7,176
65,AJOOMMA,Routine,1/10/2019,89,2240,ROYAL,#306,75229,2240 ROYAL LN #306,1/1/2019,FY2019,32.8944061,-96.903222,Restaurant,4.1,550
66,AJOOMMA SUNDAE,Routine,7/1/2019,81,2240,ROYAL,#304,75229,2240 ROYAL LN #304,7/1/2019,FY2019,32.8944061,-96.903222,Restaurant,4.1,550
67,AL BIERNAT'S NORTH,Routine,1/2/2020,86,5251,SPRING VALLEY,,75254,5251 SPRING VALLEY RD,1/1/2020,FY2020,32.9398121,-96.8192318,Restaurant,4.6,580
68,AL CHILE,Routine,12/31/2019,86,2643,HAMPTON,,75224,2643 S HAMPTON RD,12/1/2019,FY2020,32.7189178,-96.8574394,Restaurant,3.9,180
69,AL FOOD MART/ GROCERY,Routine,12/9/2019,93,7150,CHAUCER,#108,75232,7150 CHAUCER PL #108,12/1/2019,FY2020,32.6557784,-96.8458204,Restaurant,5,2
70,AL KABOB GRILL & CAFE,Follow-up,11/13/2019,80,11357,HARRY HINES,,75220,11357 HARRY HINES BLVD,11/1/2019,FY2020,32.8942196,-96.8914497,Restaurant,4.1,467
71,AL'S PIZZERIA,Routine,9/18/2019,97,3701,NORTHWEST,#309,75220,3701 W NORTHWEST HWY #309,9/1/2019,FY2019,32.8622738,-96.8573543,,,
72,AL'S PIZZERIA,Routine,10/5/2018,88,3701,NORTHWEST,#309,75220,3701 W NORTHWEST HWY STE #309,10/1/2018,FY2019,32.8622738,-96.8573543,,,
73,ALAMO CLUB,Routine,9/16/2019,96,1919,GREENVILLE,,75206,1919 GREENVILLE AVE,9/1/2019,FY2019,32.8141255,-96.7704645,Meal_Delivery,4.3,1017
74,ALAMO DRAFTHOUSE BAR,Routine,12/3/2019,97,6770,ABRAMS,,75231,6770 ABRAMS,12/1/2019,FY2020,32.8673664,-96.7415379,Restaurant,3.9,276
75,ALDEEZ SPORTS BAR AND LOUNGE,Routine,8/29/2019,74,7879,SPRING VALLEY,#115,75254,7879 SPRING VALLEY RD #115,8/1/2019,FY2019,32.941281,-96.7697471,Restaurant,4,693
76,ALDI,Routine,12/2/2019,100,3632,FRANKFORD,,75287,3632 FRANKFORD RD,12/1/2019,FY2020,32.9956878,-96.8542551,Restaurant,5,6
77,ALDI,Routine,11/20/2018,93,2440,ILLINOIS,,75233,2440 W ILLINOIS AVE,11/1/2018,FY2019,32.7189639,-96.8581345,Restaurant,3.9,109
78,ALEX ICE CREAM,Routine,11/14/2018,95,2800,SHARON,,75211,2800 SHARON AVE,11/1/2018,FY2019,32.7297744,-96.8663661,,,
79,ALEXANDRE'S,Routine,2/28/2019,100,4026,CEDAR SPRINGS,#B,75219,4026 CEDAR SPRINGS RD #B,2/1/2019,FY2019,,,,,
80,ALFONSO'S ITALIAN RESTAUR,Routine,10/11/2019,88,718,BUCKNER,#222,75218,718 N BUCKNER BLVD #222,10/1/2019,FY2020,32.8463456,-96.7108124,Restaurant,4.3,262
81,ALFREDO'S PIZZA & PASTA,Routine,9/18/2019,89,4043,TRINITY MILLS,#108,75252,4043 TRINITY MILLS RD #108,9/1/2019,FY2019,32.9877251,-96.8433495,Restaurant,2.3,4
82,ALICE,Follow-up,7/10/2019,80,1623,HALL,#103,75204,1623 N HALL ST #103,7/1/2019,FY2019,32.7951016,-96.7890195,Bar,4.3,288
83,ALICE HALL CATERING,Routine,1/6/2020,82,11390,GRISSON,,75234,11390 GRISSON LN,1/1/2020,FY2020,32.9055164,-96.8861219,,,
84,ALL N GO,Routine,2/10/2019,89,3025,WEBB CHAPEL,,75220,3025 WEBB CHAPEL EXT,2/1/2019,FY2019,32.8587334,-96.8688169,Restaurant,4.4,43
85,ALL SAINTS CATHOLIC CHURCH,Routine,2/27/2019,100,5231,MEADOWCREEK,,75248,5231 MEADOWCREEK DR,2/1/2019,FY2019,32.9635811,-96.7921374,,,
86,ALL THE BALLS,Routine,1/13/2020,95,1618,COMMERCE,,75208,1618 W COMMERCE ST,1/1/2020,FY2020,32.7724344,-96.8467395,,,
87,ALLEN'S GROCERY,Routine,9/19/2019,88,2500,LAWRENCE,,75215,2500 LAWRENCE ST,9/1/2019,FY2019,32.7518519,-96.7561264,,,
88,ALLIGATOR JACKS BEER & WINE,Routine,12/13/2018,89,5310,LAMAR,,75215,5310 S LAMAR ST,12/1/2018,FY2019,32.7437842,-96.7592273,,,
89,ALOFT DALLAS,Routine,6/27/2019,92,1033,YOUNG,#100,75202,1033 YOUNG ST #100,6/1/2019,FY2019,32.7771651,-96.8010676,,,
90,ALOFT/ELEMENT BREAKFAST AREA- PREP AREA,Routine,7/10/2019,96,2333,MOCKINGBIRD,,75235,2333 W MOCKINGBIRD LN,7/1/2019,FY2019,32.8265706,-96.8476253,,,
91,ALOHA BAR-B-QUE,Routine,8/1/2019,80,5610,LEMMON,#A1,75209,5610 LEMMON AVE #A1,8/1/2019,FY2019,32.8290387,-96.8247515,Restaurant,4.1,1350
92,ALONTI CAFE,Routine,9/13/2019,86,1150,EMPIRE CENTRAL,#100,75247,1150 EMPIRE CENTRAL DR #100,9/1/2019,FY2019,32.8241284,-96.875156,Restaurant,4.5,25
93,ALONTI CAFE & CATERING,Routine,5/7/2019,92,11411,CENTRAL,,75243,11411 N CENTRAL EXPW,5/1/2019,FY2019,32.9036149,-96.770215,,,
94,ALONTI DELI,Routine,12/12/2018,96,901,MAIN,#C-10,75202,901 MAIN ST #C-10,12/1/2018,FY2019,32.7801861,-96.8034924,Restaurant,4.5,104
95,ALPHA FOOD MART,Follow-up,9/17/2019,82,5626,ALPHA,,75240,5626 ALPHA RD,9/1/2019,FY2019,32.932446,-96.810947,,,
96,AM DONUT AND COFFEE,Routine,5/23/2019,97,115,ILLINOIS,,75224,115 W ILLINOIS AVE,5/1/2019,FY2019,32.7206962,-96.8235648,Bakery,4.7,41
97,AMAZING DONUTS BAKERY,Routine,1/29/2019,80,10355,FERGUSON,#150,75228,10355 FERGUSON RD #150,1/1/2019,FY2019,32.8367464,-96.6721234,,,
98,AMAZING OCCASION CAKES,Routine,10/9/2019,89,1149,RED BIRD,,75241,1149 E RED BIRD LN,10/1/2019,FY2020,32.675629,-96.806334,,,
99,AMAZING ROSA SNACK STOP,Routine,2/23/2017,82,3662,CAMP WISDOM,C1054,75237,3662 W CAMP WISDOM RD STE C1054,2/1/2017,FY2017,32.6594139,-96.8775081,Restaurant,4,24
100,AMAZING THAI,Routine,1/5/2017,93,13021,COIT,#100,75240,13021 COIT RD #100,1/1/2017,FY2017,32.9260723,-96.7697262,Restaurant,4.5,619
101,AMAZING WRAP,Routine,12/5/2019,89,901,MAIN,C106A,75202,901 MAIN ST C106A,12/1/2019,FY2020,32.7801887,-96.803493,Restaurant,4.5,104
102,AMBALA GRILL,Routine,10/19/2016,85,11641,HARRY HINES,#201,75229,11641 HARRY HINES BLVD #201,10/1/2016,FY2017,32.9058526,-96.8951379,Restaurant,4.1,199
103,AMBER JAX,Routine,8/26/2019,83,3011,GULDEN,#107,75212,3011 GULDEN LN #107,8/1/2019,FY2019,32.7793722,-96.8289924,Bar,4.2,455
104,AMERICA'S BEST WINGS,Routine,9/3/2019,85,4333,GANNON,#113,75237,4333 GANNON LN #113,9/1/2019,FY2019,32.656946,-96.8899146,Restaurant,4.2,300
105,AMERICAN BUTCHERS,Routine,1/22/2019,93,920,HARWOOD,#156,75201,920 S HARWOOD ST #156,1/1/2019,FY2019,32.77747,-96.7900856,Restaurant,4.4,355
106,AMERICAN DOLLAR +,Routine,2/12/2019,97,9770,FOREST,,75243,9770 FOREST LN,2/1/2019,FY2019,32.9090126,-96.7190959,Restaurant,4.6,8
107,AMERICAN GIRL BOUTIQUES AND BISTRO,Routine,1/13/2020,96,13464,DALLAS,,75240,13464 DALLAS PKWY,1/1/2020,FY2020,32.9316646,-96.8211239,Restaurant,4.4,612
108,AMERICAS BEST WINGS,Routine,8/27/2019,90,655,ILLINOIS,#729,75224,655 W ILLINOIS AVE #729,8/1/2019,FY2019,32.7222271,-96.8316916,Restaurant,4.2,746
109,AMICO'S PIZZA,Routine,7/30/2019,95,4032,CEDAR SPRINGS,,75219,4032 CEDAR SPRINGS RD,7/1/2019,FY2019,32.811933,-96.8117686,Meal_Delivery,3.4,153
110,AMIGO SUPERMART,Routine,1/14/2020,80,3726,DAVIS,,75211,3726 W DAVIS ST,1/1/2020,FY2020,32.7492894,-96.8803255,Restaurant,3.8,19
111,AMIGO'S FAST FOOD,Routine,12/6/2019,80,7048,MILITARY,,75227,7048 MILITARY PKWY,12/1/2019,FY2020,32.7718363,-96.6978578,Restaurant,4.2,103
112,AMIGO'S GROCERY,Routine,6/17/2019,94,2259,ANSON,,75235,2259 ANSON AVE,6/1/2019,FY2019,32.8330105,-96.8545063,,,
113,AMIGOS LOCOS,Routine,6/5/2019,80,2780,ROYAL,#A,75229,2780 ROYAL LN #A,6/1/2019,FY2019,,,,,
114,AMIGOS SNACKS,Routine,12/5/2019,81,1150,KIEST,#222,75224,1150 W KIEST BLVD #222,12/1/2019,FY2020,32.7050521,-96.8419257,Restaurant,4.4,104
115,AMNESIA,Routine,4/30/2019,97,1707,LAMAR,,75215,1707 S LAMAR ST,4/1/2019,FY2019,32.7659522,-96.7933112,Restaurant,4.4,293
116,ANA'S TAQUERIA,Routine,10/5/2017,85,4438,MAPLE,#5,75219,4438 MAPLE AVE STE #5,10/1/2017,FY2018,32.8114671,-96.8221564,,,
117,ANATOLE (JADE WATERS BAR & GRILL),Routine,12/27/2019,99,2201,STEMMONS,,75207,2201 N STEMMONS FRWY,12/1/2019,FY2020,32.7997871,-96.8295731,,,
118,ANDERSON'S BBQ,Routine,11/19/2019,92,5410,HARRY HINES,,75235,5410 HARRY HINES BLVD,11/1/2019,FY2020,32.814348,-96.8396469,Restaurant,4.6,784
119,ANDREAS RESTAURANT,Routine,5/16/2019,87,7260,GASTON,,75214,7260 GASTON AVE,5/1/2019,FY2019,32.8122088,-96.731817,Bar,4.3,542
120,ANDY'S FOOD MART,Routine,7/25/2019,80,2403,FITZHUGH,,75204,2403 N FITZHUGH AVE,7/1/2019,FY2019,32.8112481,-96.7826488,Restaurant,4.1,214
121,ANDY'S FROZEN CUSTARD,Routine,5/10/2019,82,9655,AUDELIA,,75238,9655 AUDELIA RD,5/1/2019,FY2019,32.877804,-96.7183381,Restaurant,4.7,530
122,ANGEL CHICKEN KITCHEN,Routine,1/6/2020,94,7632,CAMPBELL,#314,75248,7632 CAMPBELL RD #314,1/1/2020,FY2020,32.977151,-96.7686986,Restaurant,4.2,285
123,ANGELA'S CAFE & DELI,Routine,6/27/2019,89,7979,INWOOD,#121,75209,7979 INWOOD RD #121,6/1/2019,FY2019,32.8516487,-96.8219948,Bakery,4.2,79
124,ANGELICA'S MEXICAN RESTAURANT,Routine,1/10/2020,91,951,BELTLINE,B,75253,951 S BELTLINE RD B,1/1/2020,FY2020,32.6880531,-96.5883907,Restaurant,4.2,239
125,ANGELIKA CAFE,Routine,1/16/2019,92,5321,MOCKINGBIRD,#201A,75206,5321 E MOCKINGBIRD LN #201A,1/1/2019,FY2019,32.8382614,-96.7754164,Bar,4.5,834
126,ANGELO & VITO'S PIZZERIA,Routine,9/13/2019,93,4520,FRANKFORD,#400,75287,4520 FRANKFORD RD #400,9/1/2019,FY2019,32.9968941,-96.8310383,Restaurant,4.4,969
127,ANGRY DOG,Routine,9/16/2019,93,2726,COMMERCE,,75226,2726 COMMERCE ST,9/1/2019,FY2019,32.7828812,-96.7835467,Bar,4.5,1746
128,ANISA'S KITCHEN,Routine,12/20/2019,91,7777,FOREST,#A-72,75230,7777 FOREST LN #A-72,12/1/2019,FY2020,32.9113881,-96.7734463,Bakery,4,21
129,ANN MOODY PLACE KITCHEN,Routine,8/12/2019,89,2241,BUTLER,,75235,2241 BUTLER ST,8/1/2019,FY2019,32.8161518,-96.837494,,,
130,ANNA'S DELI,Routine,3/25/2019,80,7777,FOREST,C-A92,75230,7777 FOREST LN # C-A92,3/1/2019,FY2019,32.9115179,-96.7740574,Restaurant,4.3,13
131,ANNIE'S CULINARY CREATIONS,Routine,6/7/2018,95,1908,HENDERSON,,75206,1908 N HENDERSON AVE E,6/1/2018,FY2018,32.8114806,-96.7743813,Bar,3.9,225
132,ANOTHER BROKEN EGG CAFE,Routine,8/14/2019,95,4520,FRANKFORD,#100,75287,4520 FRANKFORD RD #100,8/1/2019,FY2019,32.9968941,-96.8310383,Restaurant,4.4,969
133,ANOTHER BROKEN EGG CAFE,Routine,12/27/2018,92,1152,BUCKNER,101H,75218,1152 N BUCKNER BLVD STE 101H,12/1/2018,FY2019,32.8342578,-96.7023517,Restaurant,4.5,551
134,ANTHONY'S EATALIAN PIZZA,Routine,7/9/2019,88,3751,FOREST,,75244,3751 FOREST LN,7/1/2019,FY2019,32.910235,-96.8537045,Meal_Delivery,4.3,290
135,ANTOGITOS REGIOS,Routine,10/12/2018,81,735,WESTMORELAND,#C107,75211,735 N WESTMORELAND RD #C107,10/1/2018,FY2019,,,,,
136,ANTOINE'S OF DALLAS FOOD,Routine,11/5/2019,88,4234,HARRY HINES,A,75219,4234 HARRY HINES BLVD A,11/1/2019,FY2020,32.8051152,-96.8226958,,,
137,ANTOJITO'S JALISCO,Routine,1/20/2019,93,428,JEFFERSON,#105,75203,428 E JEFFERSON BLVD #105,1/1/2019,FY2019,32.7454309,-96.817975,Meal_Takeaway,3.7,114
138,ANTOJITOS AZTECA,Routine,5/20/2019,80,2838,CLARENDON,,75211,2838 W CLARENDON DR,5/1/2019,FY2019,32.7342805,-96.8682513,Restaurant,4.2,214
139,ANTOJITOS LUPITA PUPUSERIA Y TAQUERIA,Routine,7/22/2019,88,301,JEFFERSON,,75203,301 E JEFFERSON BLVD,7/1/2019,FY2019,32.7452846,-96.8206556,Restaurant,4.4,129
140,ANVIL PUB,Routine,9/25/2019,90,2638,ELM,,75201,2638 ELM ST,9/1/2019,FY2019,32.7841481,-96.785022,Bakery,4.3,217
141,APATZINGAN TAQUERIA,Routine,7/18/2019,96,9732,WEBB CHAPEL,,75220,9732 WEBB CHAPEL RD,7/1/2019,FY2019,32.8687929,-96.8644098,Restaurant,4.2,55
142,APPLEBEE'S,Routine,9/19/2019,91,3426,ILLINOIS,,75211,3426 W ILLINOIS AVE,9/1/2019,FY2019,32.7198629,-96.8761909,Restaurant,4,2042
143,APPLEBEE'S NEIGHBORHOOD BAR & GRILL,Routine,11/22/2019,86,6464,NORTHWEST,510,75225,6464 W NORTHWEST HWY 510,11/1/2019,FY2020,32.8581213,-96.7529596,Restaurant,3.9,1767
144,APPLEBEE'S NEIGHBORHOOD BAR & GRILL,Routine,8/15/2019,96,3565,FRANKFORD,,75287,3565 FRANKFORD RD,8/1/2019,FY2019,32.9975869,-96.8570168,Restaurant,4,2249
145,AQUA COCKTAIL RESTAURANT,Routine,6/22/2019,93,2143,JOE FIELD,,75229,2143 JOE FIELD RD,6/1/2019,FY2019,32.8935538,-96.9059015,,,
146,AQUI ME QUEDO,Routine,12/9/2019,80,7840,LAKE JUNE,#B,75217,7840 LAKE JUNE RD STE #B,12/1/2019,FY2020,32.7338849,-96.6867439,Restaurant,4.1,37
147,ARAMARK CHRIST FOR THE NATIONS,Routine,7/18/2019,80,350,KIEST,,75224,350 W KIEST BLVD,7/1/2019,FY2019,32.7045352,-96.8296566,,,
148,ARBOR KITCHEN,Routine,9/18/2019,93,2101,STEMMONS,,75207,2101 N STEMMONS FRWY,9/1/2019,FY2019,32.800448,-96.8251538,Restaurant,5,1
149,ARBY'S,Routine,12/13/2019,98,5350,HARRY HINES,,75235,5350 HARRY HINES BLVD,12/1/2019,FY2020,32.8137954,-96.8389143,Restaurant,3.9,307
150,ARCADIA WINE & SPIRITS,Routine,10/4/2016,98,5626,RL THORNTON,,75235,5626 E RL THORNTON FRWY,10/1/2016,FY2017,32.7906161,-96.7454284,,,
