,Restaurant Name,Inspection Type,Inspection Date,Inspection Score,Street Number,Street Name,Street Unit,Zip,Street Address,Inspection Month,Inspection Year,Lat,Long,Type,Rating,Rating Count
3189,PACIUGO NORTHPARK MALL,Routine,10/24/2019,80,8687,CENTRAL,#2404,75225,8687 N CENTRAL EXPW #2404,10/1/2019,FY2020,32.8687682,-96.7692323,Restaurant,2.9,38
3190,PACKING HOUSE MARKET,Routine,2/27/2019,94,3117,MALCOLM X,,75215,3117 S MALCOLM X BLVD,2/1/2019,FY2019,32.7676936,-96.7671461,,,
3191,PAESANOS CAFE,Routine,9/18/2019,90,8360,LBJ,#125,75243,8360 LBJ FRWY STE #125,9/1/2019,FY2019,32.9229707,-96.7590182,,,
3192,PAISANITA TAQUERIA,Routine,9/23/2019,80,2930,DAVIS,,75211,2930 W DAVIS ST,9/1/2019,FY2019,32.7492663,-96.8697281,Restaurant,4.9,30
3193,PAK PAO,Routine,8/1/2019,85,7859,WALNUT HILL,#150,75230,7859 WALNUT HILL LN #150,8/1/2019,FY2019,32.881085,-96.7733252,Night_Club,4.5,743
3194,PAKPAO,Routine,11/4/2019,72,1628,OAK LAWN,,75207,1628 OAK LAWN AVE,11/1/2019,FY2020,32.7970641,-96.8191461,Bar,4.2,548
3195,PAL'S FOOD MART,Routine,11/26/2018,88,2307,ANN ARBOR,,75216,2307 E ANN ARBOR AVE,11/1/2018,FY2019,32.698883,-96.783824,,,
3196,PALACE CABARET,Routine,11/23/2018,98,9125,RL THORNTON,,75227,9125 E RL THORNTON FRWY,11/1/2018,FY2019,32.7974417,-96.6872244,,,
3197,PALAPAS SEAFOOD BAR,Routine,10/16/2019,80,1418,GREENVILLE,,75206,1418 GREENVILLE AVE,10/1/2019,FY2020,32.8081837,-96.769987,Bar,4.3,488
3198,PALETERIA DELICIAS,Routine,11/15/2018,84,2008,CLARENDON,#120,75211,2008 W CLARENDON DR #120,11/1/2018,FY2019,32.7347957,-96.8520546,,,
3199,PALETERIA EL REY,Routine,12/26/2019,82,3900,BUCKNER,,75227,3900 S BUCKNER BLVD,12/1/2019,FY2020,32.7712823,-96.6823365,Restaurant,4.3,58
3200,PALETERIA LA AZTECA,Routine,1/10/2020,85,8320,SCYENE,,75227,8320 SCYENE RD,1/1/2020,FY2020,32.7630263,-96.6770522,,,
3201,PALETERIA LA ESTRELLA,Routine,1/22/2019,99,409,CENTRE,,75208,409 CENTRE ST,1/1/2019,FY2019,32.7424963,-96.8288534,Restaurant,4.4,149
3202,PALETERIA LA FABULOSA,Routine,11/21/2019,91,4121,EASTSIDE,,75226,4121 EASTSIDE AVE,11/1/2019,FY2020,32.7886046,-96.7696004,,,
