restaurant_name,inspection_type,inspection_date,inspection_score,street_number,street_name,street_unit,zip_code,street_address,inspection_month,inspection_year
SCHLOTZSKYS,Routine,2/18/19,83,2337,MOCKINGBIRD,#100,75038,2337 W MOCKINGBIRD LN #100,2/1/19,FY2019
SCOTTIE'S GROCERY,Routine,8/1/19,80,1919,RECORD CROSSING,,75235,1919 RECORD CROSSING RD,8/1/19,FY2019
SCOTTISH RITE HOSPITAL SERVERY,Routine,11/27/19,95,2222,WELBURN,,75219,2222 WELBURN ST,11/1/19,FY2020
SEAFOOD CONNECTION,Routine,5/21/19,97,1427,ILLINOIS,,75216,1427 E ILLINOIS AVE,5/1/19,FY2019
SEAFOOD SHACK,Routine,11/21/19,86,3701,NORTHWEST,#195,75220,3701 W NORTHWEST HWY #195,11/1/19,FY2020
SEAFOOD SHACK,Routine,9/5/19,91,11625,WEBB CHAPEL,,75229,11625 WEBB CHAPEL RD,9/1/19,FY2019
SEAGO PANTRY,Routine,3/13/19,90,15130,SEAGOVILLE,,75253,15130 SEAGOVILLE RD,3/1/19,FY2019
SEANEEN MART,Routine,2/1/19,94,1041,BECKLEY,,75203,1041 S BECKLEY AVE,2/1/19,FY2019
SEARCH PLAZA CAFE,Routine,1/13/20,93,10670,CENTRAL,#150,75231,10670 N CENTRAL EXPW #150,1/1/20,FY2020
SEE'S CANDY,Routine,2/13/19,98,8687,CENTRAL,#2360,75225,8687 N CENTRAL EXPW #2360,2/1/19,FY2019
SELAM RESTAURANT,Routine,11/4/17,80,7402,GREENVILLE,#314,75231,7402 GREENVILLE AVE #314,11/1/17,FY2018
SELIM'S DONER KEBAD HOUSE LP,Routine,4/3/17,89,11999,PLANO,#190,75243,11999 PLANO RD #190,4/1/17,FY2017
SENOR BEAN,Routine,10/8/19,84,708,OLIVE,,75201,708 N OLIVE ST,10/1/19,FY2020
SEOUL GARDEN,Routine,7/12/19,83,2502,ROYAL,#103,75229,2502 ROYAL LN #103,7/1/19,FY2019
SERENGETI GRILL,Routine,12/6/19,99,650,R L THORNTON,,75203,650 S R L THORNTON FRWY,12/1/19,FY2020
SERIOUS PIZZA.,Routine,12/11/19,95,2807,ELM,,75226,2807 ELM ST,12/1/19,FY2020
SESAME EXPRESS CHINESE AND MEXICAN FOOD,Routine,9/19/19,84,910,HAMPTON,#E,75208,910 S HAMPTON RD #E,9/1/19,FY2019
SEVAN G&G AMERICAN MEDITERRANEAN CAFE,Routine,9/16/19,98,2221,GREENVILLE,,75206,2221 GREENVILLE AVE,9/1/19,FY2019
SEVEN DAY GROCERY,Routine,9/13/19,72,2232,CORINTH ST,,75203,2232 S CORINTH ST RD,9/1/19,FY2019
SEVEN FIVE PATIO BAR,Routine,11/8/17,86,5600,SMU,#120,75206,5600 SMU BLVD #120,11/1/17,FY2018
SEVEN-ABC BEER TO GO,Routine,11/14/18,95,3021,LOMBARDY,104,75220,3021 LOMBARDY LN STE 104,11/1/18,FY2019
SEVY'S GRILL,Routine,9/17/19,89,8201,PRESTON,#100,75225,8201 PRESTON RD #100,9/1/19,FY2019
SHADY'S,Routine,7/25/19,94,9661,AUDELIA,#110,75238,9661 AUDELIA RD 109- #110,7/1/19,FY2019
SHAKE SHACK,Routine,10/7/19,90,6025,ROYAL,#305,75230,6025 ROYAL LN #305,10/1/19,FY2020
