,index,Restaurant Name,Inspection Type,Inspection Date,Inspection Score,Street Number,Street Name,Street Unit,Zip,Street Address,Inspection Month,Inspection Year,Lat,Long,Type,Rating,Rating Count
131,3712,SNOOZE AN AM EATERY,Routine,09/05/2019,92,3211,OAKLAWN,#A,75219,3211 OAKLAWN AVE #A,09/1/19,FY2019,32.810312,-96.8083284,Restaurant,4.4,277
132,3765,ITALIAN BISTRO,Routine,08/26/2019,80,2610,HOUSTON,,75219,2610 N HOUSTON ST,08/1/19,FY2019,32.7913113,-96.80939649999999,Restaurant,4,179
133,3768,HUNKY'S,Routine,08/29/2019,88,3930,CEDAR SPRINGS,,75219,3930 CEDAR SPRINGS RD,08/1/19,FY2019,32.8110311,-96.8108079,Restaurant,4.6,1292
134,3783,ORNO,Routine,08/29/2019,75,3908,CEDAR SPRINGS,,75219,3908 CEDAR SPRINGS RD,08/1/19,FY2019,32.810469,-96.81014139999999,Restaurant,4.5,111
135,3799,MI CORAZON LATINO,Routine,08/12/2019,81,4607,MAPLE,,75219,4607 MAPLE AVE,08/1/19,FY2019,32.8126518,-96.8243203,Restaurant,4.2,28
136,3805,PARIGI,Routine,08/26/2019,91,3311,OAK LAWN,#102,75219,3311 OAK LAWN AVE #102,08/1/19,FY2019,32.8106871,-96.8075101,Restaurant,4.5,183
137,3808,3131 LOUNGE,Routine,09/30/2019,100,3131,MAIN,,75219,3131 MAIN ST,09/1/19,FY2019,32.7854155,-96.7783056,,,
138,3837,STATION 4 UPSTAIRS,Routine,02/13/2019,100,3911,CEDAR SPRINGS,,75219,3911 CEDAR SPRINGS RD,02/1/19,FY2019,32.810535,-96.81107089999999,Restaurant,3.4,159
139,3854,EL NUEVA AMEINECER,Routine,03/19/2019,100,4340,MAPLE,,75219,4340 MAPLE AVE,03/1/19,FY2019,32.810037,-96.82063110000001,,,
140,3907,ROOTS PRESSED JUICES,Routine,09/11/2019,88,4023,OAK LAWN,,75219,4023 OAK LAWN AVE,09/1/19,FY2019,32.8179976,-96.80286559999999,Bar,4.7,970
141,3911,KEMS RESTAURANT,Routine,09/20/2019,87,4500,HARRY HINES,,75219,4500 HARRY HINES BLVD,09/1/19,FY2019,32.8063535,-96.8290323,,,
142,3913,MAPLE STREET CAFE,Routine,09/18/2019,85,4001,MAPLE,,75219,4001 MAPLE AVE,09/1/19,FY2019,32.8054948,-96.8165921,,,
143,3929,RIVERVIEW CAFE & GRILL,Routine,09/11/2019,86,3811,TURTLE CREEK,#B100,75219,3811 TURTLE CREEK BLVD STE #B100,09/1/19,FY2019,32.8140823,-96.8006904,,,
144,3988,THE WOK CHINESE RESTAURANT,Routine,09/18/2019,87,4305,MAPLE,#A,75219,4305 MAPLE AVE #A,09/1/19,FY2019,32.808689,-96.81998109999999,Meal_Delivery,3.8,297
145,4017,MILLE LIRE,Routine,09/16/2019,81,3102,OAKLAWN,#116,75219,3102 OAKLAWN AVE #116,09/1/19,FY2019,32.8086974,-96.8076466,Restaurant,4.4,233
146,4078,SPREEZA,Routine,09/30/2019,93,4010,MAPLE,,75219,4010 MAPLE AVE,09/1/19,FY2019,32.8060994,-96.8159665,Restaurant,4.5,264
147,4135,ANA'S RESTAURANT COMIDA MEXICANA LLC,Routine,10/09/2019,75,4626,MAPLE,,75219,4626 MAPLE AVE,10/1/19,FY2020,32.8133713,-96.8246114,Restaurant,,
148,4137,BOB'S STEAK & CHOP HOUSE,Routine,09/25/2019,91,4300,LEMMON,,75219,4300 LEMMON AVE,09/1/19,FY2019,32.817163,-96.81112200000001,Restaurant,4.6,551
149,4140,AI SUSHI SAKE GRILL,Routine,09/26/2019,86,4123,CEDAR SPRINGS,#102,75219,4123 CEDAR SPRINGS RD #102,09/1/19,FY2019,32.8116443,-96.8132487,Restaurant,4.2,19
150,4163,MESQUITE SPORTS BAR,Routine,10/03/2019,84,4628,MAPLE,,75219,4628 MAPLE AVE,10/1/19,FY2020,32.8134983,-96.8246952,Restaurant,,
151,4194,SI LOM THAI ASIAN FUSION,Routine,09/16/2019,87,3300,OAK LAWN,#110,75219,3300 OAK LAWN AVE #110,09/1/19,FY2019,32.8101549,-96.8071949,Restaurant,4.5,327
