Restaurant Name,Inspection Type,Inspection Date,Inspection Score,Street Number,Street Name,Street Unit,Zip,Street Address,Inspection Month,Inspection Year
DAIRY QUEEN,Routine,09/19/2019,91,8150,POLK,,75232,8150 S POLK ST,09/1/19,FY2019
GRIFFS OF DALLAS,Routine,09/11/2019,96,1150,BUCKNER,,75217,1150 S BUCKNER BLVD,09/1/19,FY2019
MEAT POINT,Routine,09/18/2019,88,7114,CAMPBELL,#102,75248,7114 CAMPBELL RD #102,09/1/19,FY2019
SHELL C F HAWN,Routine,10/02/2019,95,9512,C F HAWN,,75217,9512 C F HAWN FRWY,10/1/19,FY2020
COMFORT SUITES,Routine,10/04/2019,93,4275,DALLAS FT WORTH,,75211,4275 DALLAS FT WORTH TPKE,10/1/19,FY2020
ESPUMOSO,Routine,10/08/2019,89,408,BISHOP,#105,75208,408 N BISHOP AVE #105,10/1/19,FY2020
STREETS FINE CHICKEN,Routine,09/19/2019,89,5211,FOREST,#108,75244,5211 FOREST LN #108,09/1/19,FY2019
LUCKY RICE,Routine,09/09/2019,84,1515,COCKRELL HILL,#110,75211,1515 N COCKRELL HILL RD #110,09/1/19,FY2019
ROOTS PRESSED JUICES,Routine,09/23/2019,90,8611,HILLCREST,#250,75225,8611 HILLCREST AVE #250,09/1/19,FY2019
SHARETEA,Routine,09/19/2019,94,13350,DALLAS,#410,75240,13350 N DALLAS PKWY #410,09/1/19,FY2019
POPEYES,Routine,10/02/2019,95,18311,MARSH,,75252,18311 MARSH LN,10/1/19,FY2020
MUNKEY MARKET,Routine,10/07/2019,97,2827,LIVE OAK,,75204,2827 LIVE OAK ST,10/1/19,FY2020
BOTTLED BLONDE DALLAS,Routine,09/17/2019,88,505,GOOD LATIMER,,75204,505 N GOOD LATIMER,09/1/19,FY2019
AFRICAN KITCHEN,Routine,09/20/2019,89,4515,VILLAGE FAIR,#E-4,75224,4515 VILLAGE FAIR DR #E-4,09/1/19,FY2019
EMERALD CITY,Routine,09/26/2019,95,2532,MLK,,75215,2532 MLK BLVD,09/1/19,FY2019
SONNY BRYAN'S SMOKEHOUSE,Routine,09/20/2019,80,2202,INWOOD,,75235,2202 INWOOD RD,09/1/19,FY2019
MCDONALDS,Routine,09/19/2019,94,7007,WHEATLAND,,75249,7007 W WHEATLAND RD,09/1/19,FY2019
STARBUCKS,Routine,10/11/2019,94,208,AKARD,#103,75202,208 S AKARD ST #103,10/1/19,FY2020
TORTAS LAS TORTUGAS,Routine,09/24/2019,85,235,CENTRE,,75208,235 W CENTRE ST,09/1/19,FY2019
MCDONALDS,Routine,09/09/2019,91,4330,DALLAS FT WORTH,,75211,4330 DALLAS FT WORTH TPKE,09/1/19,FY2019
MARISCO LA REYNA,Routine,10/07/2019,80,909,DAVIS,,75208,909 W DAVIS ST,10/1/19,FY2020
NEW BUFFET,Routine,09/30/2019,87,4424,DALLAS FT WORTH TPKE,,75211,4424 DALLAS FT WORTH TPKE,09/1/19,FY2019
GLORIAS TAQUERIA,Routine,09/24/2019,93,1310,JIM MILLER,,75217,1310 N JIM MILLER RD,09/1/19,FY2019
ALFREDO'S PIZZA & PASTA,Routine,09/18/2019,89,4043,TRINITY MILLS,#108,75252,4043 TRINITY MILLS RD #108,09/1/19,FY2019
TJ'S FRESH SEAFOOD MARKET & GRILL,Routine,09/23/2019,88,6025,ROYAL,#110,75220,6025 ROYAL LN #110,09/1/19,FY2019
DA NICKEL HOUSE,Routine,09/20/2019,92,1615,SINGLETON,#A,75212,1615 SINGLETON BLVD #A,09/1/19,FY2019
CVS PHARMACY,Routine,06/25/2018,91,4202,ROSS,,75204,4202 ROSS AVE,06/1/18,FY2018
SPREEZA,Routine,09/30/2019,93,4010,MAPLE,,75219,4010 MAPLE AVE,09/1/19,FY2019
SCHLOTZSKYS,Routine,09/09/2019,80,3335,WHEATLAND,#180,75237,3335 W WHEATLAND RD #180,09/1/19,FY2019
SALSA VERDE,Routine,09/18/2019,93,2950,NORTHWEST,,75220,2950 W NORTHWEST HWY,09/1/19,FY2019
HIGHLAND FOOD STORE,Routine,09/30/2019,94,1406,GREENVILLE,,75206,1406 GREENVILLE AVE,09/1/19,FY2019
DALLAS EAGLE,Routine,09/28/2017,98,5740,MAPLE,,75235,5740 MAPLE AVE,09/1/17,FY2017
CONCEPT RESTAURANT,Routine,02/06/2018,100,331,SINGLETON,#104,75212,331 SINGLETON #104,02/1/18,FY2018
RESTAURANT Y TACOS EL CHINO,Routine,09/18/2019,90,9748,BROCKBANK,#100,75220,9748 BROCKBANK DR #100,09/1/19,FY2019
SKYLINE SAUSAGE COMPANY,Routine,10/15/2018,100,11830,WEBB CHAPEL,,75231,11830 WEBB CHAPEL RD,10/1/18,FY2019
CASA LINDA SALVADORIAN CUISINE LLC,Routine,09/19/2019,90,11255,GARLAND,#1330,75218,11255 GARLAND RD #1330,09/1/19,FY2019
CHIPOTLE MEXICAN GRILL,Routine,08/29/2019,99,2201,ABRAMS,,75214,2201 ABRAMS RD,08/1/19,FY2019
EGYPTIAN RESTAURANT,Routine,09/11/2019,97,5614,MOCKINGBIRD,,75206,5614 E MOCKINGBIRD LN,09/1/19,FY2019
MILK AND CREAM,Routine,10/07/2019,90,5420,ROSS,#160,75206,5420 ROSS AVE #160,10/1/19,FY2020
GOLDEN CHICK,Routine,10/07/2019,80,10443,CENTRAL,,75231,10443 N CENTRAL EXPW,10/1/19,FY2020
