Restaurant Name,Inspection Type,Inspection Date,Inspection Score,Street Number,Street Name,Street Unit,Zip,Street Address,Inspection Month,Inspection Year
FRESHII,Routine,10/31/2018,96,2414,VICTORY PARK,,75219,2414 VICTORY PARK LN,10/1/18,FY2019
MICKLE CHICKEN,Routine,10/30/2019,100,3203,CAMP WISDOM,,75237,3203 W CAMP WISDOM RD,10/1/19,FY2020
WORLD TRADE CENTER MARKET,Routine,11/03/2016,100,2050,STEMMONS,,75207,2050 N STEMMONS FRWY,11/1/16,FY2017
DUNKIN DONUTS,Routine,10/30/2019,99,8008,HERB KELLEHER,C2174,75235,8008 HERB KELLEHER WAY STE# C2174,10/1/19,FY2020
CANVAS HOTEL - 6TH FLOOR,Routine,06/11/2018,100,1325,LAMAR,,75215,1325 S LAMAR ST,06/1/18,FY2018
ARLINGTON PARK,Routine,04/24/2019,100,5606,WAYSIDE,,75235,5606 WAYSIDE DR,04/1/19,FY2019
AMPHITHEATRE BLDG,Routine,01/31/2019,100,1818,FIRST,,75210,1818 FIRST AVE,01/1/19,FY2019
A+ ACADEMY,Routine,10/30/2019,97,10327,RYLIE,,75217,10327 RYLIE RD,10/1/19,FY2020
PIZZA PATRON,Routine,06/04/2019,99,3400,LOMBARDY,#104,75230,3400 LOMBARDY LN #104,06/1/19,FY2019
CORNER BAKERY,Routine,11/15/2018,100,301,MARKET,#100,75201,301 N MARKET ST #100,11/1/18,FY2019
LELIA P COWART SCHOOL,Routine,10/28/2019,99,1515,RAVINIA,,75211,1515 S RAVINIA DR,10/1/19,FY2020
GUZICK ELEMENTARY,Routine,05/20/2019,99,5000,BERRIDGE,,75227,5000 BERRIDGE LN,05/1/19,FY2019
MESQUITE ISD FOOD SERVICES,Routine,11/13/2019,96,253,LAWSON,,75253,253 W LAWSON RD,11/1/19,FY2020
DE ZAVALA ELEMENTARY,Routine,11/14/2017,98,3214,WINNETKA,,75212,3214 WINNETKA AVE,11/1/17,FY2018
VIDORRA,Routine,05/20/2019,98,2642,MAIN,#100,75226,2642 MAIN ST #100,05/1/19,FY2019
SUNDRY SHOP,Routine,10/15/2019,97,1910,PACIFIC,#2050,75201,1910 PACIFIC AVE #2050,10/1/19,FY2020
JERSEY MIKES SUBS,Routine,10/04/2018,89,14060,DALLAS,400,75240,14060 DALLAS PKWY STE 400,10/1/18,FY2019
SUR LA TABLE,Routine,10/30/2019,99,6025,ROYAL,#130,75230,6025 ROYAL LN #130,10/1/19,FY2020
DOLLAR TREE,Routine,04/22/2017,99,9310,FOREST,#106,75243,9310 FOREST LN #106,04/1/17,FY2017
EL RANCHO,Routine,03/09/2017,96,4121,GASTON,,75246,4121 GASTON AVE,03/1/17,FY2017
PROVIDENCE CHRISTIAN SCHOOL,Routine,05/09/2019,100,5002,LOVERS,,75209,5002 W LOVERS LN,05/1/19,FY2019
POLLO TROPICAL,Routine,03/01/2017,98,12755,MIDWAY,,75244,12755 MIDWAY RD,03/1/17,FY2017
ST PIUS X PAROCHIAL,Routine,10/14/2019,97,3030,GUS THOMASSON,,75228,3030 GUS THOMASSON RD,10/1/19,FY2020
PACIFIC DECK-DALLAS,Routine,01/17/2019,97,1910,PACIFIC,#1400,75201,1910 PACIFIC #1400,01/1/19,FY2019
CANTINA LAREDO,Routine,10/30/2019,0,6025,ROYAL,#250,75230,6025 ROYAL LN #250,10/1/19,FY2020
ADVENTURE LANDING,Routine,10/15/2019,97,17717,COIT,,75252,17717 COIT RD,10/1/19,FY2020
MALONE'S COST PLUS,Routine,10/30/2019,95,333,ST AUGUSTINE,129,75217,333 S ST AUGUSTINE RD STE 129,10/1/19,FY2020
WALGREENS,Routine,05/15/2018,98,18207,MIDWAY,,75252,18207 MIDWAY RD,05/1/18,FY2018
LA HAWAIANA,Routine,02/14/2019,100,1639,BUCKNER,#104,75217,1639 S BUCKNER BLVD #104,02/1/19,FY2019
15742 TEXAS FOOD MART,Routine,05/23/2019,99,2984,WHEATLAND,#E,75037,2984 W WHEATLAND RD #E,05/1/19,FY2019
SNAP KITCHEN,Routine,05/31/2019,100,4115,SKILLMAN,,75206,4115 SKILLMAN ST,05/1/19,FY2019
HARMONY MIDDLE SCHOOL CAFETERIA,Routine,10/17/2019,100,11995,FORESTGATE,,75243,11995 FORESTGATE DR,10/1/19,FY2020
ADELLE TURNER SCHOOL,Routine,05/24/2019,100,5505,POLK,,75232,5505 S POLK ST,05/1/19,FY2019
CHICAS BONITAS,Routine,10/27/2019,93,11044,HARRY HINES,,75229,11044 HARRY HINES BLVD,10/1/19,FY2020
BREAD ZEPPELIN,Routine,09/11/2017,97,1300,MAIN,,75202,1300 MAIN ST,09/1/17,FY2017
WILLIAMS FRIED CHICKEN,Routine,05/22/2019,100,2955,WALNUT HILL,,75229,2955 WALNUT HILL LN,05/1/19,FY2019
ELK'S LODGE BAR,Routine,10/30/2019,100,8550,LULLWATER,,75238,8550 LULLWATER DR,10/1/19,FY2020
SAN DIEGO TACO SHOP,Routine,07/19/2018,100,1331,JIM MILLER,,75217,1331 N JIM MILLER RD,07/1/18,FY2018
ROTI MEDITERRANIAN GRILL,Routine,06/06/2019,96,8301,WESTCHESTER,,75225,8301 WESTCHESTER DR,06/1/19,FY2019
LA MICHOACANA GROCERY,Routine,07/20/2018,95,8707,RL THORNTON,,75228,8707 E RL THORNTON FRWY,07/1/18,FY2018
C F CARR SCHOOL,Routine,11/14/2019,91,1952,BAYSIDE,,75212,1952 BAYSIDE ST,11/1/19,FY2020
OUMI SUSHI,Routine,11/28/2018,92,7110,SKILLMAN,#150,75231,7110 SKILLMAN ST #150,11/1/18,FY2019
COSTCO WHOLESALE,Routine,06/06/2019,100,8055,CHURCHILL,,75251,8055 CHURCHILL WAY,06/1/19,FY2019
SAN JACINTO ELEMENTARY,Routine,05/14/2019,100,7900,HUME,,75227,7900 HUME DR,05/1/19,FY2019
WENDY'S,Routine,05/15/2019,98,17989,MARSH,,75287,17989 MARSH LN,05/1/19,FY2019
NOVA ACADEMY,Routine,05/09/2019,100,2800,PRICHARD,,75227,2800 PRICHARD LN,05/1/19,FY2019
PAYLESS FUEL CENTER,Routine,04/03/2018,97,18120,COIT,,75252,18120 COIT RD,04/1/18,FY2018
LAKEWOOD CC LADIES' CARDROOM,Routine,06/27/2018,100,6430,GASTON,,75214,6430 GASTON AVE,06/1/18,FY2018
TERRACE,Routine,02/14/2019,100,2500,VICTORY,#5009,75201,2500 VICTORY AVE TERR #5009,02/1/19,FY2019
PRIME NOW LLC,Routine,11/06/2019,100,6627,MAPLE,,75235,6627 MAPLE AVE,11/1/19,FY2020
MCDONALDS,Routine,10/25/2019,100,8055,LOOP 12,,75217,8055 S LOOP 12,10/1/19,FY2020
MEDIEVAL TIME,Routine,04/25/2019,95,2021,STEMMONS,,75207,2021 N STEMMONS FRWY,04/1/19,FY2019
DUNKIN DONUTS,Routine,08/01/2017,83,13535,PRESTON,,75240,13535 PRESTON RD,08/1/17,FY2017
ACADEMY,Routine,10/25/2019,100,3303,POTTER'S HOUSE,,75236,3303 POTTER'S HOUSE WAY,10/1/19,FY2020
LAKE HIGHLANDS ELEMENTARY,Routine,04/19/2017,97,9501,FERNDALE,,75238,9501 FERNDALE RD,04/1/17,FY2017
CC YOUNG MEMORIAL HOME CAFE AREA,Routine,06/13/2018,99,4831,LAWTHER,,75214,4831 W LAWTHER DR,06/1/18,FY2018
ANN RICHARDS MIDDLE SCHOOL,Routine,05/21/2019,99,3831,PRAIRIE CREEK,,75227,3831 N PRAIRIE CREEK,05/1/19,FY2019
MONTESSORI ACADEMY AT ONESIMO HERNANDEZ ELEMENTARY,Routine,10/16/2019,100,5555,MAPLE,,75235,5555 MAPLE AVE,10/1/19,FY2020
INTER FAITH FAMILY SERVICES-DAYCARE II,Routine,11/14/2019,99,1651,MATILDA,,75206,1651 MATILDA ST,11/1/19,FY2020
G TEXAS CATERING,Routine,12/12/2017,95,10319,FINNELL,,75220,10319 FINNELL ST,12/1/17,FY2018
HIGHLAND SPRINGS - REUNION GRILL,Routine,10/23/2019,100,8060,FRANKFORD,,75252,8060 FRANKFORD RD,10/1/19,FY2020
MARY BETHUNE ELM SCHOOL,Routine,10/22/2019,100,2205,DUNCANVILLE,,75224,2205 DUNCANVILLE RD,10/1/19,FY2020
WELLMED SENIOR ACTIVITY CENTER,Routine,03/06/2019,99,3107,CAMP WISDOM,#175,75237,3107 W CAMP WISDOM RD #175,03/1/19,FY2019
W W HARLEE ELEMENTARY,Routine,12/17/2018,99,1216,EIGHTH,,75203,1216 E EIGHTH ST,12/1/18,FY2019
COVANCE INC,Routine,04/25/2019,100,1341,MOCKINGBIRD,#800E,75247,1341 W MOCKINGBIRD LN #800E,04/1/19,FY2019
MCDONALDS,Routine,11/11/2019,96,2747,FORT WORTH,,75211,2747 FORT WORTH AVE,11/1/19,FY2020
CIELO CREATIONS,Follow-up,03/27/2019,88,2711,HASKELL,#C3,75204,2711 N HASKELL AVE #C3,03/1/19,FY2019
NICK & SAM'S STEAK & FISH,Routine,03/24/2017,96,3008,MAPLE,,75201,3008 MAPLE AVE,03/1/17,FY2017
HOLIDAY INN EXPRESS & SUITES,Routine,04/03/2019,97,1521,INWOOD,,75247,1521 INWOOD RD,04/1/19,FY2019
SAM'S CLUB BAKERY,Routine,01/31/2018,100,12000,MCCREE,,75238,12000 MCCREE RD,01/1/18,FY2018
RUMOR 2ND FLR OUTSIDE BAR,Routine,09/22/2017,100,2710,MCKINNEY,B,75204,2710 MCKINNEY AVE B,09/1/17,FY2017
BOWLS & TACOS,Routine,10/22/2018,97,3400,COMMERCE,,75226,3400 COMMERCE ST,10/1/18,FY2019
EXPRESS SHOP,Routine,10/30/2019,100,200,CRESCENT,#50-B,75201,200 CRESCENT CT #50-B,10/1/19,FY2020
THE SALVATION ARMY - GYM CONCESSION,Routine,10/14/2019,100,8341,ELAM,,75217,8341 ELAM RD,10/1/19,FY2020
WOLFGANG PUCK CATERING-PASTRY KITCHEN 3RD FLR,Routine,05/23/2018,99,400,HOUSTON,3F,75202,400 S HOUSTON ST 3F,05/1/18,FY2018
KNIGHT ELEMENTARY,Routine,10/29/2019,99,2615,ANSON,,75235,2615 ANSON AVE,10/1/19,FY2020
WM B TRAVIS SCHOOL,Routine,05/23/2019,100,3001,MCKINNEY,,75204,3001 MCKINNEY AVE,05/1/19,FY2019
COURTYARD BY MARRIOTT,Routine,06/06/2019,96,2930,FOREST,,75234,2930 FOREST LN,06/1/19,FY2019
PINE CREEK MEDICAL CNTR,Routine,05/21/2019,100,9032,HARRY HINES,,75235,9032 HARRY HINES BLVD,05/1/19,FY2019
ANATOLE,Routine,12/07/2016,100,2201,STEMMONS,,75207,2201 N STEMMONS FRWY,12/1/16,FY2017
BROOK HOLLOW GOLF CLUB - BROOK BAR,Routine,11/29/2017,100,8301,HARRY HINES,,75235,8301 HARRY HINES BLVD,11/1/17,FY2018
BOOKER T WASHINGTON SCHOOL OF VISUAL AND PERFORMING ARTS,Routine,05/15/2019,97,2501,FLORA,,75201,2501 FLORA ST,05/1/19,FY2019
MOCKINGBIRD ELEMENTARY SCHOOL,Routine,05/28/2019,100,5828,MOCKINGBIRD,,75206,5828 E MOCKINGBIRD LN,05/1/19,FY2019
JACKSON WALKER,Routine,09/19/2017,99,2323,ROSS,#600,75201,2323 ROSS AVE #600,09/1/17,FY2017
MOSELEY ELEMENTARY SCHOOL,Routine,10/23/2018,100,10400,RYLIE,,75217,10400 RYLIE RD,10/1/18,FY2019
WALGREENS,Routine,05/15/2018,100,4702,JIM MILLER,,75227,4702 N JIM MILLER RD,05/1/18,FY2018
OAK CLIFF BIBLE FELLOWSHIP,Routine,05/23/2019,98,1821,CAMP WISDOM,,75232,1821 W CAMP WISDOM RD,05/1/19,FY2019
HIGHLAND SPRINGS PUB RB 2.2,Routine,10/23/2019,100,8070,FRANKFORD,,75252,8070 FRANKFORD,10/1/19,FY2020
GROUP USA INC,Routine,10/24/2019,100,1402,CORINTH,#2600,75211,1402 CORINTH ST #2600,10/1/19,FY2020
COWBOY SALOON,Routine,12/12/2018,99,10241,WALTON WALKER,,75220,10241 N WALTON WALKER BLVD,12/1/18,FY2019
KFC,Routine,04/11/2019,96,1801,BUCKNER,,75217,1801 S BUCKNER BLVD,04/1/19,FY2019
FAMILY DOLLAR,Routine,10/26/2016,100,8152,SPRING VALLEY,,75240,8152 SPRING VALLEY RD,10/1/16,FY2017
BRAUM'S ICE CREAM,Routine,12/19/2017,96,17879,PRESTON,,75252,17879 PRESTON RD,12/1/17,FY2018
STERLING HOTEL LOBBY BAR,Routine,11/01/2019,100,1055,REGAL,FL #3,75247,1055 REGAL ROW FL #3,11/1/19,FY2020
MAJESTIC THEATER,Routine,05/21/2019,99,1925,ELM,,75201,1925 ELM ST,05/1/19,FY2019
OSOS NEVERIA,Routine,12/29/2016,95,2534,ROYAL,D-13,75229,2534 ROYAL LN D-13,12/1/16,FY2017
BREADWINNERS CAFE & BAKERY,Routine,10/30/2019,94,3301,MCKINNEY,,75204,3301 MCKINNEY AVE,10/1/19,FY2020
AFRICAN AMERICAN MUSEUM,Routine,05/31/2019,100,3536,GRAND,,75210,3536 GRAND AVE,05/1/19,FY2019
CHIPOTLE MEXICAN GRILL,Routine,10/10/2019,98,2705,MCKINNEY,,75204,2705 MCKINNEY AVE,10/1/19,FY2020
HILTON GARDEN INN,Routine,10/31/2017,100,2325,STEMMONS,,75207,2325 N STEMMONS FRWY,10/1/17,FY2018
MIGALITOS SUPERMERCADO,Routine,05/07/2018,98,1050,BELTLINE,,75253,1050 S BELTLINE RD,05/1/18,FY2018
TURNER AGASI CHARTER SCHOOL FACILITIES,Routine,05/21/2019,99,3663,CAMP WISDOM,,75237,3663 W CAMP WISDOM RD,05/1/19,FY2019
MCDONALD'S IN WALMART,Routine,10/10/2019,100,15220,MONTFORT,,75240,15220 MONTFORT DR,10/1/19,FY2020
LEVEL TWO,Routine,10/24/2019,100,1250,SLOCUM,#758,75207,1250 SLOCUM ST #758,10/1/19,FY2020
HIGHLAND SPRINGS - CHISHOLM'S RESTRAURANT,Routine,10/23/2019,99,8000,FRANKFORD,,75252,8000 FRANKFORD RD,10/1/19,FY2020
ACAPULCO,Routine,07/15/2017,100,300,LEDBETTER,#100,75216,300 E LEDBETTER DR #100,07/1/17,FY2017
ALBERTSON'S,Routine,10/10/2017,100,4625,FRANKFORD,,75252,4625 FRANKFORD RD,10/1/17,FY2018
HI FLAMEZ DELI,Routine,11/27/2018,100,832,HOLCOMB,,75217,832 HOLCOMB RD,11/1/18,FY2019
MAC'S BARBECUE,Routine,10/21/2019,98,3933,MAIN,,75226,3933 MAIN ST,10/1/19,FY2020
BROOKDALE WHITE ROCK,Routine,10/29/2018,95,9271,WHITE ROCK,,75238,9271 WHITE ROCK TRL,10/1/18,FY2019
HARMONY SCHOOL OF NATURE,Routine,05/20/2019,99,8120,CAMP WISDOM,FLR 1,75249,8120 W CAMP WISDOM RD FLR 1,05/1/19,FY2019
TEXAS TORAH SCHOOL KITCHEN,Routine,05/15/2019,96,6506,FRANKFORD,,75252,6506 FRANKFORD RD,05/1/19,FY2019
CHRIST THE KING SCHOOL,Routine,05/13/2019,95,4100,COLGATE,,75225,4100 COLGATE AVE,05/1/19,FY2019
SMOOTHIE KING,Routine,11/11/2019,96,6061,FOREST,,75230,6061 FOREST LN,11/1/19,FY2020
WHICH WICH,Routine,11/11/2019,94,5610,LEMMON,B2,75209,5610 LEMMON AVE STE B2,11/1/19,FY2020
SKYLINE HIGH SCHOOL,Routine,05/28/2019,99,7777,FORNEY,,75227,7777 FORNEY RD,05/1/19,FY2019
INSPIRED VISION ACADEMY II,Routine,05/13/2019,100,8501,BRUTON,,75217,8501 BRUTON RD,05/1/19,FY2019
PEI WEI ASIAN DINER,Routine,11/11/2019,91,2222,MCKINNEY,#100,75201,2222 MCKINNEY AVE #100,11/1/19,FY2020
BURGER KING,Routine,11/02/2017,99,2441,WALNUT HILL,,75229,2441 WALNUT HILL LN,11/1/17,FY2018
CHEESE BAR,Routine,10/28/2019,96,4241,CAPITOL,,75204,4241 CAPITOL AVE,10/1/19,FY2020
ARTHUR KRAMER ELEMENTARY,Routine,05/23/2019,97,7131,MIDBURY,,75230,7131 MIDBURY DR,05/1/19,FY2019
SNAP KITCHEN,Routine,10/31/2019,98,6025,ROYAL,#320,75230,6025 ROYAL LN #320,10/1/19,FY2020
DEL NORTE BAKERY,Routine,09/16/2017,100,5507,LINDSLEY,,75223,5507 LINDSLEY AVE,09/1/17,FY2017
ST AUGUSTINE CATHOLIC CHU,Routine,05/23/2019,100,1064,ST AUGUSTINE,,75217,1064 N ST AUGUSTINE RD,05/1/19,FY2019
WAL-MART,Routine,12/15/2017,97,18121,MARSH,,75287,18121 MARSH LN,12/1/17,FY2018
NINES BAR  - ROOF TOP BAR,Routine,08/18/2018,99,2911,MAIN,,75226,2911 MAIN ST,08/1/18,FY2018
LOOK CINEMAS - UPSTAIRS BAR,Routine,10/28/2019,100,5499,BELTLINE,#300,75254,5499 BELTLINE RD #300,10/1/19,FY2020
PLAZA,Routine,03/07/2019,99,2500,VICTORY,#1066,75201,2500 VICTORY AVE PLZA #1066,03/1/19,FY2019
TOM THUMB,Routine,12/12/2016,99,5809,LOVERS,,75206,5809 E LOVERS LN,12/1/16,FY2017
NORTH DALLAS HIGH SCHOOL,Routine,10/30/2019,100,3120,HASKELL,,75204,3120 N HASKELL AVE,10/1/19,FY2020
SUPER TARGET,Routine,12/20/2018,100,16731,COIT,,75248,16731 COIT RD,12/1/18,FY2019
GREEK ORTHODOX CHURCH,Routine,06/06/2017,99,13555,HILLCREST,,75240,13555 HILLCREST RD,06/1/17,FY2017
DOUBLE TREE LOVE FIELD-LOBBY CAFE,Routine,10/31/2019,99,3300,MOCKINGBIRD,,75235,3300 W MOCKINGBIRD LN,10/1/19,FY2020
SPORTS BAR,Routine,04/25/2019,100,1055,REGAL,,75247,1055 REGAL ROW,04/1/19,FY2019
KROGER,Routine,04/27/2017,100,4142,CEDAR SPRINGS,,75219,4142 CEDAR SPRINGS RD,04/1/17,FY2017
COCHRAN CHAPEL UNITED METHODIST CHURCH-KITCHEN,Routine,10/05/2016,96,9027,MIDWAY,,75209,9027 MIDWAY RD,10/1/16,FY2017
LA ACADEMIA DE ESTRELLAS CAFETERIA,Routine,05/29/2019,100,4680,KIEST,,75236,4680 W KIEST BLVD,05/1/19,FY2019
KENNEMER MIDDLE SCHOOL,Routine,05/20/2019,98,7101,WHEATLAND,,75249,7101 W WHEATLAND RD,05/1/19,FY2019
RONALD E MCNAIR ELEM SCH,Routine,05/29/2019,98,3150,BAINBRIDGE,,75237,3150 BAINBRIDGE AVE,05/1/19,FY2019
POTBELLY SANDWICH WORKS,Routine,12/21/2016,95,4447,CENTRAL,,75205,4447 N CENTRAL EXPW,12/1/16,FY2017
SAVE-A-LOT,Routine,12/17/2018,98,3021,MLK,,75215,3021 MLK BLVD,12/1/18,FY2019
WOLFGANG PUCK - GROCERIES,Routine,10/10/2018,100,1900,AKARD,1719,75201,1900 N AKARD ST 1719,10/1/18,FY2019
AMIGO'S FAST FOOD,Routine,05/13/2019,96,7048,MILITARY,,75227,7048 MILITARY PKWY,05/1/19,FY2019
THE PHARMACY,Routine,05/28/2019,97,2812,ELM,,75226,2812 ELM ST,05/1/19,FY2019
MADISON 1925 LLC- RESTAURANT 2,Routine,11/28/2018,98,215,HENRY,,75226,215 HENRY ST,11/1/18,FY2019
ADELFA BOTELLO CALLEJO,Routine,05/13/2019,100,7817,MILITARY,,75228,7817 MILITARY PKWY,05/1/19,FY2019
WISHIRE BAPTIST CHURCH,Routine,10/14/2019,92,4316,ABRAMS,,75214,4316 ABRAMS RD,10/1/19,FY2020
WAL-MART,Routine,06/11/2019,97,9410,WEBB CHAPEL,,75220,9410 WEBB CHAPEL RD,06/1/19,FY2019
DALLAS BIBLE CHURCH KITCHEN,Routine,10/07/2019,100,15765,HILLCREST,,75248,15765 HILLCREST RD,10/1/19,FY2020
QUIKTRIP 3904,Routine,10/31/2019,100,6060,SKILLMAN,,75231,6060 SKILLMAN ST,10/1/19,FY2020
ZAN WESLEY HOLMES JR. MIDDLE,Routine,05/24/2019,100,2939,ST RITA,,75233,2939 ST RITA DR,05/1/19,FY2019
KFC,Complaint,10/16/2019,100,9465,FOREST,,75243,9465 FOREST LN,10/1/19,FY2020
BILLARES LA JUGADA LLC,Routine,12/10/2016,95,4428,MAIN,#100,75226,4428 MAIN ST #100,12/1/16,FY2017
ARAMARK AT METHODIST - SPECIALS KITCHEN,Routine,09/16/2019,98,1441,BECKLEY,,75208,1441 N BECKLEY AVE,09/1/19,FY2019
HARMONY SCIENCE ACADEMY,Routine,10/17/2019,100,12005,FORESTGATE,,75243,12005 FORESTGATE,10/1/19,FY2020
WINGSTOP,Routine,04/15/2019,98,18101,PRESTON,#204D,75252,18101 PRESTON RD #204D,04/1/19,FY2019
PLAZA,Routine,10/28/2016,100,2500,VICTORY,#1026,75201,2500 VICTORY AVE PLZA #1026,10/1/16,FY2017
LONGHORN ICE HOUSE,Routine,11/06/2019,95,1901,NORTHWEST,,75220,1901 W NORTHWEST HWY,11/1/19,FY2020
POPEYE'S,Routine,05/23/2019,97,6502,LEMMON,,75209,6502 LEMMON AVE,05/1/19,FY2019
ZOE'S KITCHEN,Routine,05/11/2017,98,3878,OAK LAWN,#314,75219,3878 OAK LAWN #314,05/1/17,FY2017
ZION LUTHERAN SCHOOL,Routine,05/23/2019,100,6121,LOVERS,,75214,6121 E LOVERS LN,05/1/19,FY2019
PEAK PREPARATORY - SECONDARY SCHOOL,Routine,11/11/2019,94,4600,BRYAN,1,75204,4600 BRYAN ST BLDG 1,11/1/19,FY2020
MURPHY'S DELI,Routine,05/21/2019,99,8350,CENTRAL,-1075,75206,8350 N CENTRAL EXPW #M -1075,05/1/19,FY2019
CASA VIEW ELEMENTARY,Routine,05/22/2019,99,2100,FAROLA,,75228,2100 FAROLA DR,05/1/19,FY2019
ORAN M ROBERTS ELEMENTARY,Routine,05/16/2019,99,4919,EAST GRAND,,75223,4919 EAST GRAND AVE,05/1/19,FY2019
MARKET HALL CONCESS AREA,Routine,10/14/2019,100,2200,STEMMONS,,75207,2200 N STEMMONS FRWY,10/1/19,FY2020
AMC THEATRES VALLEY VIEW 16,Routine,10/25/2019,89,13331,PRESTON,#2300,75240,13331 PRESTON RD #2300,10/1/19,FY2020
ATRIO BAR,Routine,07/13/2017,99,2727,STEMMONS,,75207,2727 N STEMMONS FRWY,07/1/17,FY2017
CENTERPLATE WEST KITCHEN,Routine,04/30/2019,100,650,GRIFFIN,,75202,650 S GRIFFIN ST,04/1/19,FY2019
PLAZA,Routine,05/23/2017,99,2500,VICTORY,#1029,75201,2500 VICTORY AVE PLZA #1029,05/1/17,FY2017
LA MICHOACANA,Routine,10/29/2018,95,8702,SPRING VALLEY,#C,75240,8702 SPRING VALLEY RD #C,10/1/18,FY2019
MANSION MAIN BAR,Routine,10/10/2017,99,2821,TURTLE CREEK,,75219,2821 TURTLE CREEK BLVD,10/1/17,FY2018
JIM BILHARTZ JR ELEM SCH,Routine,11/13/2019,100,6700,WANDT,,75249,6700 WANDT DR,11/1/19,FY2020
OJOS LOCOS SPORTS CANTINA,Routine,11/13/2019,97,10230,TECHNOLOGY,,75220,10230 TECHNOLOGY BLVD E,11/1/19,FY2020
CHURCH'S CHICKEN,Routine,04/19/2019,98,10295,FERGUSON,,75228,10295 FERGUSON RD,04/1/19,FY2019
DISCOUNT FOOD BEER & WINE,Routine,10/23/2019,99,3627,BONNIE VIEW,#B,75216,3627 BONNIE VIEW RD #B,10/1/19,FY2020
BURGER KING,Routine,10/30/2019,100,8383,STEMMONS,,75247,8383 N STEMMONS FRWY,10/1/19,FY2020
FRANKLIN STADIUM,Routine,05/13/2019,98,10000,HILLCREST,,75230,10000 HILLCREST RD,05/1/19,FY2019
I HEART YOGURT,Routine,12/01/2016,95,10720,PRESTON,#1006,75230,10720 PRESTON RD #1006,12/1/16,FY2017
SONNY BRYAN'S SMOKEHOUSE,Routine,05/28/2019,92,302,MARKET,#101,75202,302 N MARKET ST #101,05/1/19,FY2019
FAMILY DOLLAR,Routine,11/21/2017,96,9548,SCYENE,,75227,9548 SCYENE RD,11/1/17,FY2018
SONIC,Routine,06/22/2017,98,1920,BELTLINE,#100,75253,1920 S BELTLINE RD #100,06/1/17,FY2017
TEXAS DISCOVERY GARDENS,Routine,10/30/2018,95,3601,MLK JR,,75210,3601 MLK JR BLVD,10/1/18,FY2019
ADOLPUH HOTEL,Routine,02/08/2017,100,1321,COMMERCE,,75202,1321 COMMERCE ST,02/1/17,FY2017
TRIUMPH PREPARATORY PRIMARY,Routine,10/29/2019,100,9411,HARGROVE,,75229,9411 HARGROVE DR,10/1/19,FY2020
POLLO CAMPERO,Routine,10/28/2019,99,9419,WEBB CHAPEL,,75220,9419 WEBB CHAPEL RD,10/1/19,FY2020
STATE FAIR OF TEXAS,Routine,05/30/2019,100,1610,FUN,,75210,1610 FUN WAY,05/1/19,FY2019
COLUMBIA HOSPITAL CAFETERIA - BLDG E,Routine,10/11/2019,100,7777,FOREST LN,#E,75230,7777 FOREST LN BLDG #E,10/1/19,FY2020
TOM THUMB - SUSHI,Routine,10/15/2019,97,2380,FIELD,,75021,2380 N FIELD ST,10/1/19,FY2020
JUSTIN F KIMBALL H S,Routine,05/28/2019,100,3606,WESTMORELAND,,75233,3606 S WESTMORELAND RD,05/1/19,FY2019
PERSONALIZED LEARNING PREPARATORY AT SAM HOUSTON,Routine,05/23/2019,96,2827,THROCKMORTON,,75219,2827 THROCKMORTON ST,05/1/19,FY2019
FIESTA MART,Routine,01/02/2019,97,9727,WEBB CHAPEL,,75220,9727 WEBB CHAPEL RD,01/1/19,FY2019
COURTYARD,Routine,11/08/2019,100,310,HOUSTON,,75202,310 S HOUSTON ST,11/1/19,FY2020
ADVANTAGE ACADEMY,Routine,11/05/2019,97,4009,JOSEPH HARDIN,,75236,4009 JOSEPH HARDIN DR,11/1/19,FY2020
ROSE MARIE HAGGAR ELEM SC,Routine,08/21/2018,100,17820,CAMPBELL,,75252,17820 CAMPBELL RD,08/1/18,FY2018
LA MADELEINE,Complaint,10/25/2016,100,4343,NORTHWEST,#365,75220,4343 W NORTHWEST HWY #365,10/1/16,FY2017
C A TATUM ELEMENTARY SCHOOL,Routine,05/22/2019,100,3002,ST AUGUSTINE,,75217,3002 N ST AUGUSTINE RD,05/1/19,FY2019
DOLCERIA GLORIA,Routine,04/14/2018,100,11200,HARRY HINES,#C12,75229,11200 HARRY HINES BLVD #C12,04/1/18,FY2018
CVS,Routine,11/05/2019,97,9215,MIDWAY,,75220,9215 MIDWAY RD,11/1/19,FY2020
KATY TRAIL ICE HOUSE - SHACK KITCHEN AND BAR,Routine,10/24/2019,98,3127,ROUTH,,75201,3127 ROUTH ST,10/1/19,FY2020
SAVORY CATERING,Routine,05/25/2018,98,5855,MAPLE,#190,75235,5855 MAPLE AVE #190,05/1/18,FY2018
REILLY ELEMENTARY SCHOOL,Routine,05/22/2019,100,11230,LIPPITT,,75218,11230 LIPPITT AVE,05/1/19,FY2019
SONIC DRIVE IN,Routine,06/05/2019,99,12130,INWOOD,,75244,12130 INWOOD RD,06/1/19,FY2019
SIXTH FLOOR MUSEUM,Routine,10/23/2019,97,501,ELM,#100,75202,501 ELM ST #100,10/1/19,FY2020
BENNY'S FOOD & MART,Routine,10/15/2019,99,5942,ABRAMS,,75231,5942 ABRAMS RD,10/1/19,FY2020
CRISWELL COLLEGE MAIN KITCHEN,Routine,08/07/2018,95,4024,GASTON,,75246,4024 GASTON AVE,08/1/18,FY2018
