restaurant_name,inspection_type,inspection_date,inspection_score,street_number,street_name,street_unit,zip_code,street_address,inspection_month,inspection_year,lat,long,Unique Join
DRINK'S SALOON,Routine,09/11/2019,81,13440,T I,#2,75243,2061 FORT WORTH AVE,Sep 2019,FY2019,32.930767,-96.748771,
DRINK'S SALOON,Routine,03/19/2019,84,13440,T I,#2,75243,2065 S BUCKNER BLVD,Mar 2019,FY2019,32.930767,-96.748771,
DULCERIA GLORIA,Routine,11/24/2019,96,10788,HARRY HINES,E28,75220,11555 JUPITER #A,Nov 2019,FY2020,32.874047,-96.883685,
DULCET CAFE AND BAKERY,Routine,02/20/2019,88,320,SINGLETON,#190,75212,8702 S LANCASTER RD 100,Feb 2019,FY2019,32.778588,-96.828614,
DUNKIN DONUTS / BASKIN ROBBINS,Routine,01/07/2019,90,14841,COIT,,75248,2323 N JIM MILLER RD,Jan 2019,FY2019,32.951968,-96.76897,
E & M C-STORE,Routine,07/24/2019,98,1502,CENTERVILLE,,75228,2350 N STEMMONS FRWY 2 FL,Jul 2019,FY2019,44.609503,-72.593586,
E P CAILLET ELEMENTARY,Routine,09/11/2019,94,3033,MERRELL,,75229,8180 MIDTOWN BLVD,Sep 2019,FY2019,32.887842,-96.874456,
E P CAILLET ELEMENTARY,Routine,02/13/2019,98,3033,MERRELL,,75229,8181 S LANCASTER #E,Feb 2019,FY2019,32.887842,-96.874456,
E RAE KOREAN FOOD,Routine,09/14/2019,86,11434,EMERALD,#108,75229,13350 DALLAS PKWY #3265,Sep 2019,FY2019,32.897069,-96.899236,
E RAE KOREAN FOOD,Routine,08/19/2019,73,11434,EMERALD,#108,75229,13350 DALLAS PKWY #3290,Aug 2019,FY2019,32.897069,-96.899236,
E RAE KOREAN FOOD,Routine,02/04/2019,83,11434,EMERALD,#108,75229,13350 DALLAS PKWY #3395,Feb 2019,FY2019,32.897069,-96.899236,
E RAE KOREAN FOOD,Routine,01/24/2019,68,11434,EMERALD,#108,75229,13350 DALLAS PKWY #3425,Jan 2019,FY2019,32.897069,-96.899236,
E-BAR TEX MEX RESTAURANT,Routine,12/16/2019,82,1901,HASKELL,#100,75204,3045 N BUCKNER BLVD #C,Dec 2019,FY2020,32.801458,-96.785611,
E-BAR TEX MEX RESTAURANT,Routine,06/06/2019,80,1901,HASKELL,#100,75204,3046 FOREST LN B,Jun 2019,FY2019,32.801458,-96.785611,
E-BAR TEX MEX RESTAURANT,Routine,03/24/2019,83,1901,HASKELL,#100,75204,3049 W NORTHWEST HWY,Mar 2019,FY2019,32.801458,-96.785611,
E-BAR TEX-MEX,Routine,12/16/2019,95,1901,HASKELL,#100,75204,3037 GREENMEADOW DR,Dec 2019,FY2020,38.94994,-95.22346,
E-BAR TEX-MEX,Routine,06/06/2019,95,1901,HASKELL,#100,75204,3040 W MOCKINGBIRD LN,Jun 2019,FY2019,38.94994,-95.22346,
E-Z STOP #1,Routine,07/17/2019,80,2809,LANCASTER,,75216,6700 WANDT DR,Jul 2019,FY2019,32.712817,-96.804586,
E-Z TRIP FOOD MART #18,Routine,01/22/2019,90,3130,BUCKNER,,75228,865 S WALTON WALKER BLVD,Jan 2019,FY2019,32.807287,-96.682718,
E.D. WALKER MIDDLE SCHOOL,Routine,09/25/2019,97,12532,NUESTRA,,75230,18101 PRESTON RD #102,Sep 2019,FY2019,32.919645,-96.811323,
E.D. WALKER MIDDLE SCHOOL,Routine,03/20/2019,94,12532,NUESTRA,,75230,18101 PRESTON RD #106,Mar 2019,FY2019,32.919645,-96.811323,
EAGLE OATES FOOD MART,Routine,02/13/2019,96,2222,OATES,,75228,4009 URBAN AVE,Feb 2019,FY2019,32.821446,-96.677918,
