restaurant_name,inspection_type,inspection_date,inspection_score,street_number,street_name,street_unit,zip_code,street_address,inspection_month,inspection_year
THE MAIN PLACE GIFTS CONV,Routine,1/8/2020,97,1717,MAIN,#C120,75201,1717 MAIN ST #C120,1/1/2020,FY2020
THE MANHATTEN CLUB,Routine,9/25/2019,100,2715,MEADOW,,75215,2715 MEADOW ST,9/1/2019,FY2019
THE MARKET GROCERY,Follow-up,2/12/2019,89,9410,WALNUT,#102,75243,9410 WALNUT ST #102,2/1/2019,FY2019
THE MARKET LOCAL COMFORT CAFE,Routine,1/8/2020,94,13534,PRESTON,,75240,13534 PRESTON RD,1/1/2020,FY2020
THE MARKET@ CITY PLACE,Routine,8/26/2019,80,2711,HASKELL,#C2,75204,2711 N HASKELL AVE #C2,8/1/2019,FY2019
THE MAVERICK,Routine,10/23/2019,82,1404,MAIN,,75202,1404 MAIN ST,10/1/2019,FY2020
THE MEADOWS HEALTH 7 REHABILITATION,Routine,7/24/2019,81,8383,MEADOW,,75231,8383 MEADOW RD,7/1/2019,FY2019
THE MEAT SHOP,Routine,1/8/2020,85,4410,LOVERS,,75209,4410 W LOVERS LN,1/1/2020,FY2020
THE MEN'S CLUB,Routine,7/12/2019,91,2340,NORTHWEST,,75220,2340 W NORTHWEST HWY,7/1/2019,FY2019
THE MERCHANT HOUSE (1ST FLOOR),Routine,8/28/2019,87,4040,MAPLE,,75219,4040 MAPLE AVE,8/1/2019,FY2019
THE MERCURY GRILL,Routine,10/22/2019,91,11909,PRESTON,#1418,75230,11909 PRESTON RD #1418,10/1/2019,FY2020
THE MERIDIAN AT KESSLER PARK (KITCHEN),Routine,9/24/2019,82,2522,FORT WORTH,,75211,2522 FORT WORTH AVE,9/1/2019,FY2019
THE MINING COMPANY,Routine,11/25/2019,95,3903,CEDAR SPRINGS,,75219,3903 CEDAR SPRINGS RD,11/1/2019,FY2020
THE MIXING BOWL,Routine,5/9/2019,90,614,HAMPTON,,75208,614 S HAMPTON RD,5/1/2019,FY2019
THE MIXING BOWL BAKERY,Routine,12/4/2019,97,3800,DAVIS,,75211,3800 W DAVIS ST,12/1/2019,FY2020
THE MOTH,Routine,10/29/2019,80,1621,OAK LAWN,#B,75207,1621 OAK LAWN AVE #B,10/1/2019,FY2020
THE MUSTANG,Routine,10/25/2018,84,6116,CENTRAL,#170,75206,6116 N CENTRAL EXPW #170,10/1/2018,FY2019
THE NEW BRASS RAIL,Routine,5/15/2019,98,3941,COCKRELL HILL,,75236,3941 S COCKRELL HILL RD,5/1/2019,FY2019
THE NIGHT KARAOKE CAFE,Routine,10/28/2019,84,11818,HARRY HINES,#214,75234,11818 HARRY HINES BLVD #214,10/1/2019,FY2020
THE NOTRE DAME OF DALLAS,Routine,11/14/2019,98,2018,ALLEN,,75204,2018 ALLEN ST,11/1/2019,FY2020
THE OCEANAIRE,Routine,8/27/2019,94,13340,DALLAS,1369,75240,13340 DALLAS PKWY 1369,8/1/2019,FY2019
THE OLD CROW,Routine,2/15/2019,94,1911,GREENVILLE,,75206,1911 GREENVILLE AVE,2/1/2019,FY2019
THE OLD MONK,Routine,9/19/2019,82,2847,HENDERSON,,75206,2847 N HENDERSON AVE,9/1/2019,FY2019
THE OLD WARSAW,Routine,10/20/2016,100,2610,MAPLE,,75201,2610 MAPLE AVE,10/1/2016,FY2017
THE ORIGINAL COCKPIT,Routine,3/27/2019,94,9454,MARSH,,75250,9454 MARSH LN,3/1/2019,FY2019
THE ORIGINAL PANCAKE HOUS,Routine,12/4/2019,93,4343,NORTHWEST,#375,75220,4343 W NORTHWEST HWY #375,12/1/2019,FY2020
THE ORIGINAL PANCAKE HOUS,Routine,8/14/2019,88,2900,LEMMON,,75219,2900 LEMMON AVE,8/1/2019,FY2019
THE ORION BALLROOM,Routine,8/12/2019,95,400,ZANG,#1500,75208,400 S ZANG BLVD STE #1500,8/1/2019,FY2019
THE PALM RESTAURANT,Routine,4/20/2017,92,701,ROSS,,75202,701 ROSS AVE,4/1/2017,FY2017
THE PAPER PLATE,Routine,1/8/2018,93,4848,COCKRELL HILL,,75236,4848 S COCKRELL HILL RD,1/1/2018,FY2018
THE PARLOR,Routine,9/4/2019,94,400,OLIVE,,75201,400 N OLIVE ST,9/1/2019,FY2019
THE PAVILLION CLUB,Routine,6/19/2019,95,325,CENTRE,,75208,325 W CENTRE ST,6/1/2019,FY2019
THE PEOPLE'S LAST STAND,Routine,1/16/2019,96,5319,MOCKINGBIRD,210,75206,5319 E MOCKINGBIRD LN 210,1/1/2019,FY2019
THE PHARMACY,Routine,5/28/2019,97,2812,ELM,,75226,2812 ELM ST,5/1/2019,FY2019
THE PIE PLACE,Routine,1/31/2019,98,1335,PLOWMAN,,75203,1335 PLOWMAN AVE,1/1/2019,FY2019
THE PIZZA GUY,Routine,7/15/2019,95,17390,PRESTON,#263,75252,17390 PRESTON RD #263,7/1/2019,FY2019
THE PORCH,Routine,9/19/2019,85,2912,HENDERSON,,75206,2912 N HENDERSON AVE,9/1/2019,FY2019
THE POTTER'S HOUSE YOUTH ADDITION,Routine,1/31/2019,100,6777,KIEST,,75211,6777 W KIEST BLVD,1/1/2019,FY2019
