restaurant_name,inspection_type,inspection_date,inspection_score,street_number,street_name,street_unit,zip_code,street_address,inspection_month,inspection_year,lat,long
MICKLE CHICKEN,Routine,10/30/2019,100,3203,CAMP WISDOM,,75237,3203 W CAMP WISDOM RD,Oct 2019,FY2020,32.662584, -96.873446
DUNKIN DONUTS,Routine,10/30/2019,99,8008,HERB KELLEHER,C2174,75235,8008 HERB KELLEHER WAY STE# C2174,Oct 2019,FY2020,0,0
ARLINGTON PARK,Routine,04/24/2019,100,5606,WAYSIDE,,75235,5606 WAYSIDE DR,Apr 2019,FY2019,32.814839, -96.851964
AMPHITHEATRE BLDG #L1,Routine,01/31/2019,100,1818,FIRST,,75210,1818 FIRST AVE,Jan 2019,FY2019,41.804943, -89.696801
A+ ACADEMY,Routine,10/30/2019,97,10327,RYLIE,,75217,10327 RYLIE RD,Oct 2019,FY2020,32.690501, -96.644107
PIZZA PATRON,Routine,06/04/2019,99,3400,LOMBARDY,#104,75230,3400 LOMBARDY LN #104,Jun 2019,FY2019,32.866419, -96.865718
LELIA P COWART SCHOOL,Routine,10/28/2019,99,1515,RAVINIA,,75211,1515 S RAVINIA DR,Oct 2019,FY2020,32.728009, -96.868837
GUZICK ELEMENTARY,Routine,05/20/2019,99,5000,BERRIDGE,,75227,5000 BERRIDGE LN,May 2019,FY2019,32.78548, -96.692084
MESQUITE ISD FOOD SERVICES,Routine,11/13/2019,96,253,LAWSON,,75253,253 W LAWSON RD,Nov 2019,FY2020,34.957094, -95.899875
AMPHITHEATRE BLDG #L2,Routine,01/31/2019,100,1818,FIRST,,75210,1818 FIRST AVE,Jan 2019,FY2019,41.804943, -89.696801
VIDORRA,Routine,05/20/2019,98,2642,MAIN,#100,75226,2642 MAIN ST #100,May 2019,FY2019,41.678741, -70.026921
SUNDRY SHOP,Routine,10/15/2019,97,1910,PACIFIC,#2050,75201,1910 PACIFIC AVE #2050,Oct 2019,FY2020,32.786781, -96.79859
SUR LA TABLE,Routine,10/30/2019,99,6025,ROYAL,#130,75230,6025 ROYAL LN #130,Oct 2019,FY2020,32.894884, -96.802798
PROVIDENCE CHRISTIAN SCHOOL,Routine,05/09/2019,100,5002,LOVERS,,75209,5002 W LOVERS LN,May 2019,FY2019,32.851173, -96.825758
ST PIUS X PAROCHIAL,Routine,10/14/2019,97,3030,GUS THOMASSON,,75228,3030 GUS THOMASSON RD,Oct 2019,FY2020,32.834742, -96.665888
PACIFIC DECK-DALLAS,Routine,01/17/2019,97,1910,PACIFIC,#1400,75201,1910 PACIFIC #1400,Jan 2019,FY2019,0,0
CANTINA LAREDO,Routine,10/30/2019,0,6025,ROYAL,#250,75230,6025 ROYAL LN #250,Oct 2019,FY2020,32.894884, -96.802798
ADVENTURE LANDING,Routine,10/15/2019,97,17717,COIT,,75252,17717 COIT RD,Oct 2019,FY2020,32.991599, -96.767955
MALONE'S COST PLUS #7 (PRODUCE),Routine,10/30/2019,95,333,ST AUGUSTINE,129,75217,333 S ST AUGUSTINE RD STE 129,Oct 2019,FY2020,32.708121, -96.65705
LA HAWAIANA,Routine,02/14/2019,100,1639,BUCKNER,#104,75217,1639 S BUCKNER BLVD #104,Feb 2019,FY2019,32.740645, -96.682968
15742 TEXAS FOOD MART,Routine,05/23/2019,99,2984,WHEATLAND,#E,75037,2984 W WHEATLAND RD #E,May 2019,FY2019,32.647456, -96.869413
SNAP KITCHEN,Routine,05/31/2019,100,4115,SKILLMAN,,75206,4115 SKILLMAN ST,May 2019,FY2019,32.836245, -96.76152
HARMONY MIDDLE SCHOOL CAFETERIA,Routine,10/17/2019,100,11995,FORESTGATE,,75243,11995 FORESTGATE DR,Oct 2019,FY2020,32.91042, -96.702505
ADELLE TURNER SCHOOL,Routine,05/24/2019,100,5505,POLK,,75232,5505 S POLK ST,May 2019,FY2019,32.678269, -96.840098
CHICAS BONITAS,Routine,10/27/2019,93,11044,HARRY HINES,,75229,11044 HARRY HINES BLVD,Oct 2019,FY2020,32.883879, -96.886442
WILLIAMS FRIED CHICKEN,Routine,05/22/2019,100,2955,WALNUT HILL,,75229,2955 WALNUT HILL LN,May 2019,FY2019,32.881016, -96.878626
ELK'S LODGE BAR #71,Routine,10/30/2019,100,8550,LULLWATER,,75238,8550 LULLWATER DR,Oct 2019,FY2020,32.865454, -96.703879
ROTI MEDITERRANIAN GRILL,Routine,06/06/2019,96,8301,WESTCHESTER,,75225,8301 WESTCHESTER DR,Jun 2019,FY2019,38.895085, -77.231192
C F CARR SCHOOL,Routine,11/14/2019,91,1952,BAYSIDE,,75212,1952 BAYSIDE ST,Nov 2019,FY2020,32.788698, -96.852726
COSTCO WHOLESALE (FOOD COURT),Routine,06/06/2019,100,8055,CHURCHILL,,75251,8055 CHURCHILL WAY,Jun 2019,FY2019,32.918067, -96.768087
SAN JACINTO ELEMENTARY,Routine,05/14/2019,100,7900,HUME,,75227,7900 HUME DR,May 2019,FY2019,32.758059, -96.685907
WENDY'S #8604,Routine,05/15/2019,98,17989,MARSH,,75287,17989 MARSH LN,May 2019,FY2019,32.994725, -96.855423
NOVA ACADEMY,Routine,05/09/2019,100,2800,PRICHARD,,75227,2800 PRICHARD LN,May 2019,FY2019,32.761807, -96.687385
TERRACE #5009 GRILL ZONE 310,Routine,02/14/2019,100,2500,VICTORY,#5009,75201,2500 VICTORY AVE TERR #5009,Feb 2019,FY2019,27.281226, -80.275011
PRIME NOW LLC,Routine,11/06/2019,100,6627,MAPLE,,75235,6627 MAPLE AVE,Nov 2019,FY2020,32.828792, -96.845408
MCDONALDS,Routine,10/25/2019,100,8055,LOOP 12,,75217,8055 S LOOP 12,Oct 2019,FY2020,0,0
MEDIEVAL TIME (KITCHEN),Routine,04/25/2019,95,2021,STEMMONS,,75207,2021 N STEMMONS FRWY,Apr 2019,FY2019,32.800514, -96.823102
ACADEMY,Routine,10/25/2019,100,3303,POTTER'S HOUSE,,75236,3303 POTTER'S HOUSE WAY,Oct 2019,FY2020,32.697429, -96.947274
OUMI SUSHI @ SPROUTS 149,Routine,11/14/2019,100,7110,SKILLMAN,#150,75231,7110 SKILLMAN ST #150,Nov 2019,FY2020,32.875992, -96.734723
ANN RICHARDS MIDDLE SCHOOL,Routine,05/21/2019,99,3831,PRAIRIE CREEK,,75227,3831 N PRAIRIE CREEK,May 2019,FY2019,32.770094, -96.665495
MONTESSORI ACADEMY AT ONESIMO HERNANDEZ ELEMENTARY,Routine,10/16/2019,100,5555,MAPLE,,75235,5555 MAPLE AVE,Oct 2019,FY2020,38.660362, -90.28007
INTER FAITH FAMILY SERVICES-DAYCARE II,Routine,11/14/2019,99,1651,MATILDA,,75206,1651 MATILDA ST,Nov 2019,FY2020,30.435864, -91.171471
HIGHLAND SPRINGS - REUNION GRILL,Routine,10/23/2019,100,8060,FRANKFORD,,75252,8060 FRANKFORD RD,Oct 2019,FY2020,32.997484, -96.761907
MARY BETHUNE ELM SCHOOL,Routine,10/22/2019,100,2205,DUNCANVILLE,,75224,2205 DUNCANVILLE RD,Oct 2019,FY2020,32.726465, -96.908714
WELLMED SENIOR ACTIVITY CENTER,Routine,03/06/2019,99,3107,CAMP WISDOM,#175,75237,3107 W CAMP WISDOM RD #175,Mar 2019,FY2019,32.66221, -96.871284
AMPHITHEATRE BLDG #R3,Routine,01/31/2019,100,1818,FIRST,,75210,1818 FIRST AVE,Jan 2019,FY2019,41.804943, -89.696801
W W HARLEE ELEMENTARY,Routine,05/08/2019,100,1216,EIGHTH,,75203,1216 E EIGHTH ST,May 2019,FY2019,35.040712, -85.290449
COVANCE INC,Routine,04/25/2019,100,1341,MOCKINGBIRD,#800E,75247,1341 W MOCKINGBIRD LN #800E,Apr 2019,FY2019,32.821674, -96.865229
MCDONALDS,Routine,11/11/2019,96,2747,FORT WORTH,,75211,2747 FORT WORTH AVE,Nov 2019,FY2020,32.757716, -96.865794
CIELO CREATIONS,Follow-up,03/27/2019,88,2711,HASKELL,#C3,75204,2711 N HASKELL AVE #C3,Mar 2019,FY2019,32.807044, -96.792783
HOLIDAY INN EXPRESS & SUITES,Routine,04/03/2019,97,1521,INWOOD,,75247,1521 INWOOD RD,Apr 2019,FY2019,42.56082, -83.302287
EXPRESS SHOP,Routine,10/30/2019,100,200,CRESCENT,#50-B,75201,200 CRESCENT CT #50-B,Oct 2019,FY2020,37.096759, -76.436467
THE SALVATION ARMY - GYM CONCESSION,Routine,10/14/2019,100,8341,ELAM,,75217,8341 ELAM RD,Oct 2019,FY2020,32.719704, -96.676466
KNIGHT ELEMENTARY,Routine,10/29/2019,99,2615,ANSON,,75235,2615 ANSON AVE,Oct 2019,FY2020,0,0
C F CARR SCHOOL,Routine,05/01/2019,97,1952,BAYSIDE,,75212,1952 BAYSIDE ST,May 2019,FY2019,32.788698, -96.852726
WM B TRAVIS SCHOOL,Routine,05/23/2019,100,3001,MCKINNEY,,75204,3001 MCKINNEY AVE,May 2019,FY2019,32.801648, -96.800982
COURTYARD BY MARRIOTT,Routine,06/06/2019,96,2930,FOREST,,75234,2930 FOREST LN,Jun 2019,FY2019,44.410547, -89.790082
PINE CREEK MEDICAL CNTR,Routine,05/21/2019,100,9032,HARRY HINES,,75235,9032 HARRY HINES BLVD,May 2019,FY2019,32.840161, -96.868835
BOOKER T WASHINGTON SCHOOL OF VISUAL AND PERFORMING ARTS,Routine,05/15/2019,97,2501,FLORA,,75201,2501 FLORA ST,May 2019,FY2019,32.791011, -96.796304
MOCKINGBIRD ELEMENTARY SCHOOL,Routine,05/28/2019,100,5828,MOCKINGBIRD,,75206,5828 E MOCKINGBIRD LN,May 2019,FY2019,32.836478, -96.766267
OAK CLIFF BIBLE FELLOWSHIP,Routine,05/23/2019,98,1821,CAMP WISDOM,,75232,1821 W CAMP WISDOM RD,May 2019,FY2019,32.662215, -96.847314
HIGHLAND SPRINGS PUB RB 2.2,Routine,10/23/2019,100,8070,FRANKFORD,,75252,8070 FRANKFORD,Oct 2019,FY2020,32.997482, -96.761779
GROUP USA INC @ EL CENTRO VENDING MACHINE,Routine,10/24/2019,100,1402,CORINTH,#2600,75211,1402 CORINTH ST #2600,Oct 2019,FY2020,32.766943, -96.787067
KFC,Routine,04/11/2019,96,1801,BUCKNER,,75217,1801 S BUCKNER BLVD,Apr 2019,FY2019,32.742944, -96.682964
STERLING HOTEL LOBBY BAR,Routine,11/01/2019,100,1055,REGAL,FL #3,75247,1055 REGAL ROW FL #3,Nov 2019,FY2020,32.826924, -96.88703
MAJESTIC THEATER,Routine,05/21/2019,99,1925,ELM,,75201,1925 ELM ST,May 2019,FY2019,33.998668, -96.39708
BREADWINNERS CAFE & BAKERY,Routine,10/30/2019,94,3301,MCKINNEY,,75204,3301 MCKINNEY AVE,Oct 2019,FY2020,32.804523, -96.799235
AFRICAN AMERICAN MUSEUM,Routine,05/31/2019,100,3536,GRAND,,75210,3536 GRAND AVE,May 2019,FY2019,32.778606, -96.76399
CHIPOTLE MEXICAN GRILL,Routine,10/10/2019,98,2705,MCKINNEY,,75204,2705 MCKINNEY AVE,Oct 2019,FY2020,32.798106, -96.80126
TURNER AGASI CHARTER SCHOOL FACILITIES,Routine,05/21/2019,99,3663,CAMP WISDOM,,75237,3663 W CAMP WISDOM RD,May 2019,FY2019,32.662158, -96.879035
MCDONALD'S IN WALMART,Routine,10/10/2019,100,15220,MONTFORT,,75240,15220 MONTFORT DR,Oct 2019,FY2020,32.958912, -96.818136
LEVEL TWO,Routine,10/24/2019,100,1250,SLOCUM,#758,75207,1250 SLOCUM ST #758,Oct 2019,FY2020,32.789582, -96.816348
HIGHLAND SPRINGS - CHISHOLM'S RESTRAURANT,Routine,10/23/2019,99,8000,FRANKFORD,,75252,8000 FRANKFORD RD,Oct 2019,FY2020,32.997497, -96.763203
MAC'S BARBECUE,Routine,10/21/2019,98,3933,MAIN,,75226,3933 MAIN ST,Oct 2019,FY2020,38.657061, -76.057189
HARMONY SCHOOL OF NATURE/1ST FLR/WEST WING,Routine,05/20/2019,99,8120,CAMP WISDOM,FLR 1,75249,8120 W CAMP WISDOM RD FLR 1,May 2019,FY2019,32.661794, -96.967191
TEXAS TORAH SCHOOL KITCHEN,Routine,05/15/2019,96,6506,FRANKFORD,,75252,6506 FRANKFORD RD,May 2019,FY2019,32.997814, -96.793039
CHRIST THE KING SCHOOL,Routine,05/13/2019,95,4100,COLGATE,,75225,4100 COLGATE AVE,May 2019,FY2019,32.859822, -96.805392
SMOOTHIE KING,Routine,11/11/2019,96,6061,FOREST,,75230,6061 FOREST LN,Nov 2019,FY2020,27.954298, -82.029737
WHICH WICH,Routine,11/11/2019,94,5610,LEMMON,B2,75209,5610 LEMMON AVE STE B2,Nov 2019,FY2020,32.828768, -96.825046
SKYLINE HIGH SCHOOL,Routine,05/28/2019,99,7777,FORNEY,,75227,7777 FORNEY RD,May 2019,FY2019,32.778131, -96.690619
INSPIRED VISION ACADEMY II,Routine,05/13/2019,100,8501,BRUTON,,75217,8501 BRUTON RD,May 2019,FY2019,32.748802, -96.674821
PEI WEI ASIAN DINER,Routine,11/11/2019,91,2222,MCKINNEY,#100,75201,2222 MCKINNEY AVE #100,Nov 2019,FY2020,32.793312, -96.80271
CHEESE BAR,Routine,10/28/2019,96,4241,CAPITOL,,75204,4241 CAPITOL AVE,Oct 2019,FY2020,32.78829, -83.655857
ARTHUR KRAMER ELEMENTARY,Routine,05/23/2019,97,7131,MIDBURY,,75230,7131 MIDBURY DR,May 2019,FY2019,32.901276, -96.783028
SNAP KITCHEN,Routine,10/31/2019,98,6025,ROYAL,#320,75230,6025 ROYAL LN #320,Oct 2019,FY2020,32.894884, -96.802798
ST AUGUSTINE CATHOLIC CHU,Routine,05/23/2019,100,1064,ST AUGUSTINE,,75217,1064 N ST AUGUSTINE RD,May 2019,FY2019,30.839415, -83.319445
LOOK CINEMAS - UPSTAIRS BAR,Routine,10/28/2019,100,5499,BELTLINE,#300,75254,5499 BELTLINE RD #300,Oct 2019,FY2020,42.187049, -89.116319
GEXA ENERGY PAVILION BLDG #R4,Routine,01/19/2019,100,1818,FIRST,,75210,1818 FIRST AVE,Jan 2019,FY2019,41.804943, -89.696801
PLAZA #1066 PIZZA HUT#102,Routine,03/07/2019,99,2500,VICTORY,#1066,75201,2500 VICTORY AVE PLZA #1066,Mar 2019,FY2019,27.281226, -80.275011
NORTH DALLAS HIGH SCHOOL,Routine,10/30/2019,100,3120,HASKELL,,75204,3120 N HASKELL AVE,Oct 2019,FY2020,32.810723, -96.795881
DOUBLE TREE LOVE FIELD-LOBBY CAFE,Routine,10/31/2019,99,3300,MOCKINGBIRD,,75235,3300 W MOCKINGBIRD LN,Oct 2019,FY2020,32.18713, -111.036805
SPORTS BAR,Routine,04/25/2019,100,1055,REGAL,,75247,1055 REGAL ROW,Apr 2019,FY2019,32.826924, -96.88703
LA ACADEMIA DE ESTRELLAS CAFETERIA,Routine,05/29/2019,100,4680,KIEST,,75236,4680 W KIEST BLVD,May 2019,FY2019,32.705677, -96.900668
KENNEMER MIDDLE SCHOOL,Routine,05/20/2019,98,7101,WHEATLAND,,75249,7101 W WHEATLAND RD,May 2019,FY2019,32.647206, -96.947978
RONALD E MCNAIR ELEM SCH,Routine,05/29/2019,98,3150,BAINBRIDGE,,75237,3150 BAINBRIDGE AVE,May 2019,FY2019,40.875068, -73.879473
AMIGO'S FAST FOOD,Routine,05/13/2019,96,7048,MILITARY,,75227,7048 MILITARY PKWY,May 2019,FY2019,32.772486, -96.697954
THE PHARMACY,Routine,05/28/2019,97,2812,ELM,,75226,2812 ELM ST,May 2019,FY2019,45.989361, -107.956639
WOLFGANG PUCK CATERING-PASTRY KITCHEN 3RD FLR,Routine,11/08/2019,99,400,HOUSTON,3F,75202,400 S HOUSTON ST 3F,Nov 2019,FY2020,32.587214, -96.312451
ADELFA BOTELLO CALLEJO,Routine,05/13/2019,100,7817,MILITARY,,75228,7817 MILITARY PKWY,May 2019,FY2019,32.770455, -96.686941
W W HARLEE ELEMENTARY,Routine,11/13/2019,98,1216,EIGHTH,,75203,1216 E EIGHTH ST,Nov 2019,FY2020,35.040712, -85.290449
WISHIRE BAPTIST CHURCH,Routine,10/14/2019,92,4316,ABRAMS,,75214,4316 ABRAMS RD,Oct 2019,FY2020,32.839014, -96.752848
WAL-MART #5889,Routine,06/11/2019,97,9410,WEBB CHAPEL,,75220,9410 WEBB CHAPEL RD,Jun 2019,FY2019,32.861059, -96.857995
DALLAS BIBLE CHURCH KITCHEN,Routine,10/07/2019,100,15765,HILLCREST,,75248,15765 HILLCREST RD,Oct 2019,FY2020,39.070859, -83.903366
QUIKTRIP 3904,Routine,10/31/2019,100,6060,SKILLMAN,,75231,6060 SKILLMAN ST,Oct 2019,FY2020,32.862647, -96.749688
ZAN WESLEY HOLMES JR. MIDDLE,Routine,05/24/2019,100,2939,ST RITA,,75233,2939 ST RITA DR,May 2019,FY2019,32.712044, -96.866243
KFC,Complaint,10/16/2019,100,9465,FOREST,,75243,9465 FOREST LN,Oct 2019,FY2020,40.926988, -95.875075
ARAMARK AT METHODIST - SPECIALS KITCHEN,Routine,09/16/2019,98,1441,BECKLEY,,75208,1441 N BECKLEY AVE,Sep 2019,FY2019,32.616966, -96.823427
HARMONY SCIENCE ACADEMY,Routine,10/17/2019,100,12005,FORESTGATE,,75243,12005 FORESTGATE,Oct 2019,FY2020,0,0
WINGSTOP,Routine,04/15/2019,98,18101,PRESTON,#204D,75252,18101 PRESTON RD #204D,Apr 2019,FY2019,32.998852, -96.797507
LONGHORN ICE HOUSE,Routine,11/06/2019,95,1901,NORTHWEST,,75220,1901 W NORTHWEST HWY,Nov 2019,FY2020,32.86913, -96.913053
POPEYE'S,Routine,05/23/2019,97,6502,LEMMON,,75209,6502 LEMMON AVE,May 2019,FY2019,32.836766, -96.831786
ZION LUTHERAN SCHOOL,Routine,05/23/2019,100,6121,LOVERS,,75214,6121 E LOVERS LN,May 2019,FY2019,32.851003, -96.759216
PEAK PREPARATORY - SECONDARY SCHOOL,Routine,11/11/2019,94,4600,BRYAN,1,75204,4600 BRYAN ST BLDG 1,Nov 2019,FY2020,32.802045, -96.775634
MURPHY'S DELI,Routine,05/21/2019,99,8350,CENTRAL,-1075,75206,8350 N CENTRAL EXPW #M -1075,May 2019,FY2019,32.864097, -96.7695
CASA VIEW ELEMENTARY,Routine,05/22/2019,99,2100,FAROLA,,75228,2100 FAROLA DR,May 2019,FY2019,32.846243, -96.676373
ORAN M ROBERTS ELEMENTARY,Routine,05/16/2019,99,4919,EAST GRAND,,75223,4919 EAST GRAND AVE,May 2019,FY2019,32.788031, -96.753652
MARKET HALL CONCESS AREA,Routine,10/14/2019,100,2200,STEMMONS,,75207,2200 N STEMMONS FRWY,Oct 2019,FY2020,33.076119, -97.023595
AMC THEATRES VALLEY VIEW 16,Routine,10/25/2019,89,13331,PRESTON,#2300,75240,13331 PRESTON RD #2300,Oct 2019,FY2020,32.929466, -96.803616
CENTERPLATE WEST KITCHEN,Routine,04/30/2019,100,650,GRIFFIN,,75202,650 S GRIFFIN ST,Apr 2019,FY2019,32.772703, -96.799217
JIM BILHARTZ JR ELEM SCH,Routine,11/13/2019,100,6700,WANDT,,75249,6700 WANDT DR,Nov 2019,FY2020,32.665129, -96.929856
OJOS LOCOS SPORTS CANTINA,Routine,11/13/2019,97,10230,TECHNOLOGY,,75220,10230 TECHNOLOGY BLVD E,Nov 2019,FY2020,32.860661, -96.894707
CHURCH'S CHICKEN #201,Routine,04/19/2019,98,10295,FERGUSON,,75228,10295 FERGUSON RD,Apr 2019,FY2019,32.83427, -96.673672
DISCOUNT FOOD BEER & WINE,Routine,10/23/2019,99,3627,BONNIE VIEW,#B,75216,3627 BONNIE VIEW RD #B,Oct 2019,FY2020,32.714165, -96.775785
BURGER KING,Routine,10/30/2019,100,8383,STEMMONS,,75247,8383 N STEMMONS FRWY,Oct 2019,FY2020,32.826033, -96.87257
FRANKLIN STADIUM,Routine,05/13/2019,98,10000,HILLCREST,,75230,10000 HILLCREST RD,May 2019,FY2019,32.885547, -96.786689
LEVEL TWO,Routine,04/30/2019,99,1250,SLOCUM,#758,75207,1250 SLOCUM ST #758,Apr 2019,FY2019,32.789582, -96.816348
SONNY BRYAN'S SMOKEHOUSE,Routine,05/28/2019,92,302,MARKET,#101,75202,302 N MARKET ST #101,May 2019,FY2019,39.739927, -75.551614
TRIUMPH PREPARATORY PRIMARY,Routine,10/29/2019,100,9411,HARGROVE,,75229,9411 HARGROVE DR,Oct 2019,FY2020,32.860183, -96.863125
POLLO CAMPERO,Routine,10/28/2019,99,9419,WEBB CHAPEL,,75220,9419 WEBB CHAPEL RD,Oct 2019,FY2020,32.861673, -96.858857
STATE FAIR OF TEXAS,Routine,05/30/2019,100,1610,FUN,,75210,1610 FUN WAY,May 2019,FY2019,0,0
STERLING HOTEL THE GREENWAY,Routine,04/25/2019,100,1055,REGAL,FL #3,75247,1055 REGAL ROW FL #3,Apr 2019,FY2019,32.826924, -96.88703
COLUMBIA HOSPITAL CAFETERIA - BLDG E,Routine,10/11/2019,100,7777,FOREST LN,#E,75230,7777 FOREST LN BLDG #E,Oct 2019,FY2020,32.909447, -96.772089
TOM THUMB - SUSHI,Routine,10/15/2019,97,2380,FIELD,,75021,2380 N FIELD ST,Oct 2019,FY2020,32.78904, -96.806882
JUSTIN F KIMBALL H S,Routine,05/28/2019,100,3606,WESTMORELAND,,75233,3606 S WESTMORELAND RD,May 2019,FY2019,32.69914, -96.878454
PERSONALIZED LEARNING PREPARATORY AT SAM HOUSTON,Routine,05/23/2019,96,2827,THROCKMORTON,,75219,2827 THROCKMORTON ST,May 2019,FY2019,32.809705, -96.812862
FIESTA MART #32 TAQUERIA,Routine,01/02/2019,97,9727,WEBB CHAPEL,,75220,9727 WEBB CHAPEL RD,Jan 2019,FY2019,32.867633, -96.864815
COURTYARD (12th FLOOR),Routine,11/08/2019,100,310,HOUSTON,,75202,310 S HOUSTON ST,Nov 2019,FY2020,33.504904, -94.616138
ADVANTAGE ACADEMY (SERVERY ONLY),Routine,11/05/2019,97,4009,JOSEPH HARDIN,,75236,4009 JOSEPH HARDIN DR,Nov 2019,FY2020,32.693919, -96.898663
C A TATUM ELEMENTARY SCHOOL,Routine,05/22/2019,100,3002,ST AUGUSTINE,,75217,3002 N ST AUGUSTINE RD,May 2019,FY2019,32.763336, -96.656841
STERLING HOTEL THE GREENWAY,Routine,10/22/2019,96,1055,REGAL,FL #3,75247,1055 REGAL ROW FL #3,Oct 2019,FY2020,32.826924, -96.88703
CVS,Routine,11/05/2019,97,9215,MIDWAY,,75220,9215 MIDWAY RD,Nov 2019,FY2020,35.807264, -78.086057
KATY TRAIL ICE HOUSE - SHACK KITCHEN AND BAR,Routine,10/24/2019,98,3127,ROUTH,,75201,3127 ROUTH ST,Oct 2019,FY2020,32.801096, -96.807173
REILLY ELEMENTARY SCHOOL,Routine,05/22/2019,100,11230,LIPPITT,,75218,11230 LIPPITT AVE,May 2019,FY2019,32.855738, -96.689048
SONIC DRIVE IN,Routine,06/05/2019,99,12130,INWOOD,,75244,12130 INWOOD RD,Jun 2019,FY2019,32.913843, -96.818349
SIXTH FLOOR MUSEUM,Routine,10/23/2019,97,501,ELM,#100,75202,501 ELM ST #100,Oct 2019,FY2020,32.779752, -96.807721
BENNY'S FOOD & MART,Routine,10/15/2019,99,5942,ABRAMS,,75231,5942 ABRAMS RD,Oct 2019,FY2020,32.857889, -96.748196
CEDAR SOCIAL CONTAINER BAR,Routine,05/23/2019,97,1326,LAMAR,,75215,1326 S LAMAR ST,May 2019,FY2019,32.741335, -97.806649
HARBORCHASE OF THE PARK CITIES-2ND FLOOR SERVER,Routine,06/11/2019,100,5917,SHERRY,,75225,5917 SHERRY LN,Jun 2019,FY2019,32.862318, -96.810998
EL PATRON SPORTS BAR,Routine,05/10/2019,95,10571,DENTON,,75220,10571 DENTON DR,May 2019,FY2019,32.867835, -96.880185
SPRAGUE WEST STADIUM,Routine,10/31/2019,99,3700,BOULDER,,75233,3700 BOULDER DR,Oct 2019,FY2020,32.210671, -101.496606
SEASON'S 52,Routine,10/28/2019,90,8687,CENTRAL,#B307,75225,8687 N CENTRAL EXPW #B307,Oct 2019,FY2020,32.869358, -96.770707
THE TRADITION-4TH FL SOUTH WING LVL4,Routine,03/26/2019,98,5855,MILTON,,75206,5855 MILTON ST,Mar 2019,FY2019,32.849156, -96.765971
AMPHITHEATRE BLDG #R1,Routine,01/31/2019,100,1818,FIRST,,75210,1818 FIRST AVE,Jan 2019,FY2019,41.804943, -89.696801
PIZZA HUT,Routine,06/12/2019,83,222,CONTINENTAL,,75238,222 CONTINENTAL AVE,Jun 2019,FY2019,32.78378, -96.814079
"WILD, WILD WEST",Routine,11/06/2019,100,509,ELM,#100,75202,509 ELM ST #100,Nov 2019,FY2020,47.248028, -88.45351
A.W. BROWN,Routine,05/21/2019,99,5701,REDBIRD CENTER,,75115,5701 REDBIRD CENTER DR,May 2019,FY2019,32.677966, -96.880258
CHARGERS CAFE,Routine,05/23/2019,98,7502,FAIR OAKS,,75231,7502 FAIR OAKS AVE,May 2019,FY2019,32.876845, -96.753278
MEDRANO ELEMENTARY SCHOOL,Routine,11/04/2019,100,2221,LUCAS,,75219,2221 LUCAS DR,Nov 2019,FY2020,32.806706, -96.827899
W H ADAMSON HIGH SCHOOL,Routine,11/07/2019,97,309,NINTH,,75203,309 E NINTH ST,Nov 2019,FY2020,41.450614, -90.553419
AMERICAN LEGION POST #453,Routine,11/06/2019,97,2755,BACHMAN,,75220,2755 BACHMAN DR,Nov 2019,FY2020,32.853731, -96.870758
WM H ATWELL JR HIGH,Routine,05/29/2019,100,1303,REYNOLDSTON,,75233,1303 REYNOLDSTON LN,May 2019,FY2019,32.676699, -96.843881
BELMONTS CAFE ON BACHMAN CREEK,Routine,05/30/2019,99,3880,NORTHWEST,,75220,3880 W NORTHWEST HWY,May 2019,FY2019,32.862236, -96.850455
HARMONY ELEMENTARY CAFETERIA,Routine,10/17/2019,100,11945,FORESTGATE,,75243,11945 FORESTGATE DR,Oct 2019,FY2020,32.911532, -96.704292
WW SAMUELL HIGH SCHOOL,Routine,05/29/2019,100,8928,PALISADES,,75217,8928 PALISADES DR,May 2019,FY2019,0,0
KATY TRAIL ICE HOUSE - DISH AREA,Routine,10/24/2019,99,3127,ROUTH,,75201,3127 ROUTH ST,Oct 2019,FY2020,32.801096, -96.807173
LINCOLN CAFE,Routine,03/21/2019,97,500,AKARD,#220,75201,500 N AKARD ST #220,Mar 2019,FY2019,32.78429, -96.800619
WHATABURGER #604,Routine,10/17/2019,99,3710,NORTHWEST,,75220,3710 W NORTHWEST HWY,Oct 2019,FY2020,32.86058, -96.856543
ZION LUTHERAN SCHOOL,Routine,10/24/2019,100,6121,LOVERS,,75214,6121 E LOVERS LN,Oct 2019,FY2020,32.851003, -96.759216
CATHEDRAL SANTUARIO DE GUADALUPE,Routine,05/15/2019,95,2215,ROSS,,75201,2215 ROSS AVE,May 2019,FY2019,44.912839, -89.595341
MCDONALD'S,Routine,05/16/2019,97,407,LAMAR,#170A,75202,407 N LAMAR ST #170A,May 2019,FY2019,33.920688, -98.500857
GOLDEN RULE CHARTER SCHOOL,Routine,10/23/2019,99,2602,ILLINOIS,,75233,2602 W ILLINOIS AVE,Oct 2019,FY2020,32.720226, -96.862714
GABE ALLEN SCH,Routine,11/11/2019,95,5220,NOMAS,,75212,5220 NOMAS ST,Nov 2019,FY2020,32.782156, -96.907551
WESTWOOD JR HIGH,Routine,10/16/2019,100,7630,ARAPAHO,,75248,7630 ARAPAHO RD,Oct 2019,FY2020,32.961941, -96.776965
CENTRAL MARKET KITCHEN,Routine,05/21/2019,97,5750,LOVERS,,75206,5750 E LOVERS LN,May 2019,FY2019,32.851001, -96.768981
