restaurant_name,inspection_type,inspection_date,inspection_score,street_number,street_name,street_unit,zip_code,street_address,inspection_month,inspection_year,lat,long
GORDITAS AHUALULCO SLP,Routine,08/29/2019,84,1209,FORT WORTH,#102,75208,1209 FORT WORTH AVE #102,Aug 2019,FY2019,32.767149, -96.840509
INDIGO HOTEL GRILL,Routine,08/29/2019,80,1933,MAIN,,75201,1933 MAIN ST,Aug 2019,FY2019,32.78164, -96.79451
BELOW ZERO,Routine,08/22/2019,89,4444,ILLINOIS,#120,75211,4444 ILLINOIS AVE #120,Aug 2019,FY2019,36.007339, -119.480335
ORIGIN NATURAL FOOD,Routine,08/21/2019,86,4438,MCKINNEY,150,75205,4438 MCKINNEY AVE 150,Aug 2019,FY2019,32.820684, -96.788582
PRIMO BROTHERS PIZZA,Routine,08/29/2019,87,9310,FOREST,,75243-4217,9310 FOREST LN #334,Aug 2019,FY2019,45.124591, -83.641057
CAFE MOMENTUM,Routine,08/29/2019,91,1510,PACIFIC,,75201,1510 PACIFIC AVE,Aug 2019,FY2019,36.975189, -122.026514
ASO ROCK RESTAURANT & LOUNGE,Follow-up,08/09/2019,74,9220,SKILLMAN,#115,75243,9220 SKILLMAN ST #115,Aug 2019,FY2019,32.902791, -96.714538
ORANGE CHICKEN EXPRESS CHINESE FOOD,Routine,09/03/2019,80,2303,MOUNTAIN LAKE,#100,75224,2303 MOUNTAIN LAKE RD #100,Sep 2019,FY2019,35.744459, -79.838623
ALL SAINTS ELEM SCHOOL,Routine,08/19/2019,98,7777,OSAGE PLAZA,,75252,7777 OSAGE PLAZA PKWY,Aug 2019,FY2019,32.994585, -96.770996
SPRING CREEK ELEMENTARY,Routine,09/11/2019,98,7667,ROUNDROCK,,75248,7667 ROUNDROCK RD,Sep 2019,FY2019,32.95587, -96.776781
CINEPOLIS LUXURY CINEMAS FL 7 KITCHEN,Routine,08/23/2019,89,2365,VICTORY,,75219,2365 VICTORY AVE,Aug 2019,FY2019,46.994627, -123.811851
LAS FLAMAS,Follow-up,08/21/2019,86,13937,CENTRAL,,75243,13937 N CENTRAL EXPW,Aug 2019,FY2019,32.938128, -96.748679
SMOKEY JOHNS' BBQ,Routine,09/13/2019,91,1820,MOCKINGBIRD,#18,75235,1820 W MOCKINGBIRD LN #18,Sep 2019,FY2019,32.822091, -96.854728
