restaurant_name,inspection_type,inspection_date,inspection_score,street_number,street_name,street_unit,zip_code,street_address,inspection_month,inspection_year
ATRIO RESTAURANT,Routine,07/08/2019,85,2727,STEMMONS,,75207,2727 N STEMMONS FRWY,Jul 2019,FY2019
KING SPA DELI,Routine,06/22/2019,86,2143,JOE FIELD,,75229,2143 JOE FIELD RD,Jun 2019,FY2019
STACK'S SANDWICH COMPANY,Routine,06/20/2019,85,150,TURTLE CREEK,#202,75207,150 TURTLE CREEK BLVD #202,Jun 2019,FY2019
MY HAPPY FISH,Routine,06/21/2019,80,10819,COMPOSITE,,75220,10819 COMPOSITE DR,Jun 2019,FY2019
SUBWAY SANDWICHES,Routine,03/01/2019,89,2231,SINGLETON,#102,75212,2231 SINGLETON BLVD #102,Mar 2019,FY2019
SHEBELLE ETHIOPIAN CUISINE,Routine,06/19/2019,95,17194,PRESTON,#140,75248,17194 PRESTON RD #140,Jun 2019,FY2019
JEANNIE'S CHINESE,Routine,01/10/2019,97,5441,ALPHA,#102,75240,5441 ALPHA RD #102,Jan 2019,FY2019
JACK IN THE BOX #3704,Routine,06/26/2019,91,2720,NORTHWEST,,75220,2720 W NORTHWEST HWY,Jun 2019,FY2019
DK DONER & KEBAB EATS LLC,Routine,07/01/2019,80,4201,GASTON,#104,75246,4201 GASTON AVE #104,Jul 2019,FY2019
2100 DELI,Routine,06/28/2019,80,2100,MCKINNEY,#150,75201,2100 MCKINNEY AVE #150,Jun 2019,FY2019
BIRRIERIA AGUINAGA,Routine,06/26/2019,71,2829,NORTHWEST,#520,75220,2829 W NORTHWEST HWY #520,Jun 2019,FY2019
WHATABURGER LITTLE HEROES,Routine,06/19/2019,96,2807,HARRY HINES,,75201,2807 HARRY HINES BLVD,Jun 2019,FY2019
MARRIOTT LOBBY BAR,Routine,06/27/2019,94,650,PEARL,,75201,650 N PEARL EXPW,Jun 2019,FY2019
BACHMAN TACOS,Routine,06/03/2019,82,3311,NORTHWEST,,75220,3311 W NORTHWEST HWY,Jun 2019,FY2019
AJOOMMA SUNDAE,Routine,06/19/2019,72,2240,ROYAL,#304,75229,2240 ROYAL LN #304,Jun 2019,FY2019
CORNER BAKERY CAFE,Routine,07/08/2019,86,11700,PRESTON,#880,75230,11700 PRESTON RD #880,Jul 2019,FY2019
THE ISLAND SPOT,Routine,06/19/2019,92,309,JEFFERSON,,75208,309 W JEFFERSON BLVD,Jun 2019,FY2019
LUPITA'S RESTAURANT Y TAQUERIA,Routine,06/11/2019,81,1965,FORT WORTH,,75208,1965 FORT WORTH AVE,Jun 2019,FY2019
WOLFGANG PUCK (1st FL HAMMON HALL SUPPER CLUB),Routine,07/08/2019,98,2403,FLORA,,75201,2403 FLORA ST,Jul 2019,FY2019
PAPA JOHNS,Routine,06/11/2019,96,2292,BUCKNER,#110,75227,2292 S BUCKNER BLVD #110,Jun 2019,FY2019
VILLAGE BURGER BAR,Routine,07/05/2019,96,3699,MCKINNEY,#325C,75204,3699 MCKINNEY AVE #325C,Jul 2019,FY2019
CHURCH'S CHICKEN,Routine,07/09/2019,88,9363,FOREST,,75243,9363 FOREST LN,Jul 2019,FY2019
TACOS LA ADDICCION,Routine,06/19/2019,95,4970,ILLINOIS,,75211,4970 W ILLINOIS AVE,Jun 2019,FY2019
FLETCHERS NOVELTY SHOP @ SOUTHERN SKATES ROLLER PK,Routine,05/02/2019,97,2939,LEDBETTER,,75211,2939 E LEDBETTER DR,May 2019,FY2019
CHURCH'S CHICKEN #347,Routine,06/18/2019,80,1025,CAMP WISDOM,,75232,1025 W CAMP WISDOM RD,Jun 2019,FY2019
TIGER MART #81 / TACO CASINA,Routine,07/03/2019,92,2050,WESTMORELAND,#100,75211,2050 N WESTMORELAND RD #100,Jul 2019,FY2019
SDI 3627 DALLAS TX (SONIC DRIVE IN),Routine,06/18/2019,93,3555,FOREST,,75234,3555 FOREST LN,Jun 2019,FY2019
WENDY'S #302,Routine,06/06/2019,91,5502,HARRY HINES,,75235,5502 HARRY HINES BLVD,Jun 2019,FY2019
LAS PALMAS,Routine,06/19/2019,82,2708,ROUTH,,75201,2708 ROUTH ST,Jun 2019,FY2019
JUICENG HEALTH BAR,Routine,06/06/2019,89,5500,GREENVILLE,#100,75206,5500 GREENVILLE AVE #100,Jun 2019,FY2019
K & J DOLLAR STORE,Routine,06/25/2019,86,9780,LBJ,#106,75243,9780 LBJ FRWY #106,Jun 2019,FY2019
THE BLUE FISH,Routine,06/21/2019,96,18149,DALLAS,#100,75287,18149 DALLAS PKWY #100,Jun 2019,FY2019
QUICK SPOT,Routine,06/19/2019,86,6666,SKILLMAN,,75231,6666 SKILLMAN ST,Jun 2019,FY2019
SKILLMAN WOK,Follow-up,06/25/2019,83,9780,LBJ,#104,75243,9780 LBJ FRWY #104,Jun 2019,FY2019
NORTHWEST DRIVE IN,Routine,06/26/2019,91,6537,NORTHWEST,,75231,6537 E NORTHWEST HWY,Jun 2019,FY2019
WHITE DIAMONDS BAR AND GRILL,Routine,06/27/2019,85,3906,CAMP WISDOM,#110,75237,3906 W CAMP WISDOM RD #110,Jun 2019,FY2019
MY FAMILY'S PIZZA,Routine,07/02/2019,88,10720,PRESTON,#1014,75230,10720 PRESTON RD #1014,Jul 2019,FY2019
THE PAVILLION CLUB,Routine,06/19/2019,95,325,CENTRE,,75208,325 W CENTRE ST,Jun 2019,FY2019
LA SALSA VERDE TAQUERIA,Routine,07/10/2019,75,2728,COMMUNITY,,75220,2728 COMMUNITY DR,Jul 2019,FY2019
SNAPPY SALADS,Routine,07/03/2019,94,5941,GREENVILLE,,75206,5941 GREENVILLE AVE,Jul 2019,FY2019
PERRY STEAKHOUSE & GRILL,Routine,06/06/2019,86,2000,MCKINNEY,100,75201,2000 MCKINNEY AVE 100,Jun 2019,FY2019
SAM'S GRILL & SEAFOOD,Routine,06/28/2019,82,1607,REGAL,,75247,1607 REGAL ROW,Jun 2019,FY2019
KOMALI,Routine,06/27/2019,79,4152,COLE,#106,75204,4152 COLE AVE #106,Jun 2019,FY2019
DISTRICT DOWNTOWN,Routine,06/28/2019,95,1520,MAIN,#B,75201,1520 MAIN ST #B,Jun 2019,FY2019
CARNITAS LA PRIMERA MEAT MARKET,Routine,06/13/2019,88,8721,LAKE JUNE,,75217,8721 LAKE JUNE,Jun 2019,FY2019
ROYAL DONUTS,Routine,06/26/2019,87,10725,AUDELIA,#101,75238,10725 AUDELIA RD #101,Jun 2019,FY2019
ANATOLE HOTEL (TRINITY HALL),Routine,06/20/2019,95,2201,STEMMONS,,75207,2201 N STEMMONS FRWY,Jun 2019,FY2019
WOLFGANG PUCK (WINDSPEAR 1st FL LOBBY BARS),Routine,07/08/2019,97,2403,FLORA,,75201,2403 FLORA ST,Jul 2019,FY2019
EAST GRAND CANTINA,Routine,06/20/2019,92,5623,GRAND,,75223,5623 E GRAND AVE,Jun 2019,FY2019
SONIC DRIVE IN,Routine,06/06/2019,87,1330,EMPIRE CENTRAL,,75247,1330 EMPIRE CENTRAL DR,Jun 2019,FY2019
WAL-MART #2667 DELI,Routine,06/20/2019,93,7401,SAMUELL,,75227,7401 SAMUELL BLVD,Jun 2019,FY2019
WENDY'S #9411,Routine,06/11/2019,97,4380,DALLAS FT WORTH,,75208,4380 DALLAS FT WORTH TPKE,Jun 2019,FY2019
WALMART #3014 - BAKERY,Routine,06/13/2019,85,200,SHORT,,75232,200 SHORT BLVD,Jun 2019,FY2019
GOOD LUCK,Routine,06/14/2019,93,332,COMMERCE,,75202,332 W COMMERCE ST,Jun 2019,FY2019
OLIVER'S EATERY,Routine,06/20/2019,93,4727,FRANKFORD,#373,75287,4727 FRANKFORD RD #373,Jun 2019,FY2019
HARDEMANS BAR-B-QUE& CATERING,Routine,06/20/2019,87,6931,SCYENE,,75227,6931 SCYENE RD,Jun 2019,FY2019
FAMILY DOLLAR #7620,Routine,06/17/2019,93,4807,MAPLE,#100,75219,4807 MAPLE AVE #100,Jun 2019,FY2019
ALOFT/ELEMENT BREAKFAST AREA- PREP AREA,Routine,07/10/2019,96,2333,MOCKINGBIRD,,75235,2333 W MOCKINGBIRD LN,Jul 2019,FY2019
BONE DADDY'S,Routine,06/21/2019,75,8856,SPRING VALLEY,,75243,8856 SPRING VALLEY RD,Jun 2019,FY2019
STOCKS & BONDY,Routine,06/17/2019,95,920,HARWOOD,#198,75201,920 S HARWOOD #198,Jun 2019,FY2019
FUZZY'S TACO SHOP,Routine,07/10/2019,81,4740,MOCKINGBIRD,#101,75209,4740 W MOCKINGBIRD LN #101,Jul 2019,FY2019
LONE STAR ROAD HOUSE,Routine,06/28/2019,94,11277,NORTHWEST,#124,75238,11277 E NORTHWEST HWY #124,Jun 2019,FY2019
WATER WHEELS SNOW CONE,Routine,06/17/2019,85,3102,BUCKNER,,75228,3102 N BUCKNER BLVD,Jun 2019,FY2019
